,No value,2019,Jan,10 or fewer,10 or fewer,10 or fewer,3238
,,,Feb,10 or fewer,10 or fewer,10 or fewer,3330
,,,Mar,10 or fewer,10 or fewer,10 or fewer,3322
,,,Apr,10 or fewer,10 or fewer,10 or fewer,3565
,,,May,10 or fewer,10 or fewer,10 or fewer,3257
,,,Jun,10 or fewer,10 or fewer,10 or fewer,3184
,,,Jul,10 or fewer,10 or fewer,10 or fewer,3569
,,,Aug,10 or fewer,10 or fewer,10 or fewer,3491
,,,Sep,10 or fewer,10 or fewer,10 or fewer,3321
,,,Oct,10 or fewer,10 or fewer,10 or fewer,3582
,,,Nov,10 or fewer,10 or fewer,10 or fewer,3735
,,,Dec,10 or fewer,10 or fewer,10 or fewer,3792
,"Total: Total includes all data under the New York bucket, including data from rows not currently displayed.",2019,Jan,93,10 or fewer,29,98115
,,,Feb,84,10 or fewer,27,93501
,,,Mar,90,10 or fewer,24,103245
,,,Apr,100,10 or fewer,42,100080
,,,May,122,15,42,102944
,,,Jun,119,46,57,100424
,,,Jul,155,228,48,109294
,,,Aug,126,55,46,104949
,,,Sep,133,21,40,105175
,,,Oct,118,12,41,109769
,,,Nov,92,10 or fewer,37,106022
,,,Dec,109,10 or fewer,33,115866
Florida,Less than 15 Years,2019,Jan,10 or fewer,10 or fewer,10 or fewer,20990
,,,Feb,10 or fewer,10 or fewer,10 or fewer,23189
,,,Mar,10 or fewer,10 or fewer,10 or fewer,24580
,,,Apr,10 or fewer,10 or fewer,10 or fewer,22605
,,,May,10 or fewer,10 or fewer,10 or fewer,22267
,,,Jun,10 or fewer,10 or fewer,10 or fewer,18211
,,,Jul,10 or fewer,10 or fewer,10 or fewer,16960
,,,Aug,10 or fewer,10 or fewer,10 or fewer,18857
,,,Sep,10 or fewer,11,10 or fewer,21204
,,,Oct,10 or fewer,10 or fewer,10 or fewer,24192
,,,Nov,10 or fewer,10 or fewer,10 or fewer,25815
,,,Dec,10 or fewer,10 or fewer,10 or fewer,24275
,≥ 15 and < 25 Years,2019,Jan,10 or fewer,10 or fewer,23,11474
,,,Feb,10 or fewer,10 or fewer,22,10871
,,,Mar,10 or fewer,10 or fewer,25,11609
,,,Apr,10 or fewer,10 or fewer,29,11528
,,,May,10 or fewer,13,37,11143
,,,Jun,10 or fewer,14,30,10193
,,,Jul,10 or fewer,34,28,10617
,,,Aug,10 or fewer,28,29,10826
,,,Sep,10 or fewer,14,21,11340
,,,Oct,10 or fewer,11,24,11675
,,,Nov,10 or fewer,10 or fewer,37,11246
,,,Dec,10 or fewer,10 or fewer,29,11120
,≥ 25 and < 45 Years,2019,Jan,33,10 or fewer,37,23714
,,,Feb,39,10 or fewer,25,22035
,,,Mar,33,10 or fewer,23,23922
,,,Apr,32,10 or fewer,27,23598
,,,May,39,34,35,23783
,,,Jun,39,42,39,23186
,,,Jul,41,43,36,24127
,,,Aug,51,32,44,23342
,,,Sep,42,30,34,23121
,,,Oct,39,10 or fewer,41,23768
,,,Nov,35,10 or fewer,41,22353
,,,Dec,56,10 or fewer,38,24193
,≥ 45 and < 65 Years,2019,Jan,10 or fewer,10 or fewer,11,21839
,,,Feb,15,10 or fewer,10 or fewer,20236
