,No value,2020,Jan,10 or fewer,10 or fewer,10 or fewer,5638
,,,Feb,10 or fewer,10 or fewer,10 or fewer,5238
,,,Mar,10 or fewer,10 or fewer,10 or fewer,5268
,,,Apr,10 or fewer,10 or fewer,10 or fewer,3492
,,,May,10 or fewer,10 or fewer,10 or fewer,4039
,,,Jun,10 or fewer,10 or fewer,10 or fewer,4691
,,,Jul,10 or fewer,10 or fewer,10 or fewer,5121
,,,Aug,10 or fewer,10 or fewer,10 or fewer,4778
,,,Sep,10 or fewer,10 or fewer,10 or fewer,5081
,,,Oct,10 or fewer,10 or fewer,10 or fewer,5162
,,,Nov,10 or fewer,10 or fewer,10 or fewer,5179
,,,Dec,10 or fewer,10 or fewer,10 or fewer,6321
,"Total: Total includes all data under the Ohio bucket, including data from rows not currently displayed.",2020,Jan,443,10 or fewer,171,258989
,,,Feb,438,10 or fewer,123,237524
,,,Mar,437,10 or fewer,182,204950
,,,Apr,462,10 or fewer,204,128599
,,,May,685,83,213,163698
,,,Jun,701,192,296,192223
,,,Jul,624,388,313,211163
,,,Aug,573,116,281,205312
,,,Sep,486,43,241,201033
,,,Oct,445,10 or fewer,243,208751
,,,Nov,474,11,221,208762
,,,Dec,474,10 or fewer,214,200952
Texas,Less than 15 Years,2020,Jan,10 or fewer,10 or fewer,10 or fewer,55131
,,,Feb,10 or fewer,10 or fewer,10 or fewer,51802
,,,Mar,10 or fewer,10 or fewer,10 or fewer,39980
,,,Apr,10 or fewer,10 or fewer,10 or fewer,17152
,,,May,10 or fewer,10 or fewer,10 or fewer,21774
,,,Jun,10 or fewer,10 or fewer,10 or fewer,24980
,,,Jul,10 or fewer,16,10 or fewer,25488
,,,Aug,10 or fewer,30,10 or fewer,25763
,,,Sep,10 or fewer,10 or fewer,10 or fewer,29473
,,,Oct,10 or fewer,10 or fewer,10 or fewer,33174
,,,Nov,10 or fewer,10 or fewer,10 or fewer,31359
,,,Dec,10 or fewer,10 or fewer,11,28507
,≥ 15 and < 25 Years,2020,Jan,13,10 or fewer,47,26864
,,,Feb,10 or fewer,10 or fewer,41,24793
,,,Mar,11,10 or fewer,52,22767
,,,Apr,11,10 or fewer,54,14098
,,,May,10 or fewer,16,58,17840
,,,Jun,14,41,60,21950
,,,Jul,15,88,70,24061
,,,Aug,10 or fewer,68,82,23351
,,,Sep,16,18,75,23804
,,,Oct,14,10 or fewer,90,25483
,,,Nov,12,10 or fewer,85,24470
,,,Dec,10 or fewer,10 or fewer,68,23297
,≥ 25 and < 45 Years,2020,Jan,31,10 or fewer,61,53903
,,,Feb,24,10 or fewer,61,48814
,,,Mar,27,10 or fewer,45,47842
,,,Apr,34,10 or fewer,53,32158
,,,May,32,35,64,38192
,,,Jun,44,123,73,46959
,,,Jul,37,215,84,52028
,,,Aug,24,180,87,49369
,,,Sep,34,43,93,48810
,,,Oct,20,11,95,51486
,,,Nov,42,10 or fewer,86,50981
,,,Dec,38,10 or fewer,63,52061
,≥ 45 and < 65 Years,2020,Jan,15,10 or fewer,24,43496
,,,Feb,15,10 or fewer,17,41464
,,,Mar,19,10 or fewer,25,37847
,,,Apr,19,15,15,27286
,,,May,23,37,16,32417
,,,Jun,22,93,15,37837
,,,Jul,16,179,29,43218
,,,Aug,13,144,25,41018
,,,Sep,14,27,30,40052
,,,Oct,15,10 or fewer,26,42621
,,,Nov,13,10 or fewer,21,42852
,,,Dec,24,10 or fewer,26,45234
,65 Years or more,2020,Jan,10 or fewer,10 or fewer,10 or fewer,36429
,,,Feb,10 or fewer,10 or fewer,10 or fewer,34906
,,,Mar,13,10 or fewer,10 or fewer,29825
,,,Apr,10 or fewer,10 or fewer,10 or fewer,21372
,,,May,10 or fewer,16,10 or fewer,26775
,,,Jun,10 or fewer,49,10 or fewer,29812
,,,Jul,10 or fewer,92,10 or fewer,33526
,,,Aug,10 or fewer,81,10 or fewer,33262
,,,Sep,16,22,10 or fewer,33514
,,,Oct,10 or fewer,10 or fewer,10 or fewer,36566
,,,Nov,12,10 or fewer,10 or fewer,36616
,,,Dec,11,10 or fewer,10 or fewer,40141
,No value,2020,Jan,10 or fewer,10 or fewer,10 or fewer,5908
,,,Feb,10 or fewer,10 or fewer,10 or fewer,5669
,,,Mar,10 or fewer,10 or fewer,10 or fewer,5861
,,,Apr,10 or fewer,10 or fewer,10 or fewer,4050
,,,May,10 or fewer,10 or fewer,10 or fewer,4573
,,,Jun,10 or fewer,10 or fewer,10 or fewer,5154
,,,Jul,10 or fewer,10 or fewer,10 or fewer,6401
,,,Aug,10 or fewer,10 or fewer,10 or fewer,6426
,,,Sep,10 or fewer,10 or fewer,10 or fewer,6569
,,,Oct,10 or fewer,10 or fewer,10 or fewer,6585
,,,Nov,10 or fewer,10 or fewer,10 or fewer,6721
,,,Dec,10 or fewer,10 or fewer,10 or fewer,7784
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",2020,Jan,68,10 or fewer,145,221705
,,,Feb,56,10 or fewer,126,207432
,,,Mar,71,17,136,184104
,,,Apr,69,32,130,116107
,,,May,69,111,153,141551
,,,Jun,89,315,164,166675
,,,Jul,76,592,203,184698
,,,Aug,55,505,210,179165
,,,Sep,82,119,220,182202
,,,Oct,61,34,224,195890
,,,Nov,80,10 or fewer,215,192977
,,,Dec,85,10 or fewer,176,197000
Pennsylvania,Less than 15 Years,2020,Jan,10 or fewer,10 or fewer,10 or fewer,26656
,,,Feb,10 or fewer,10 or fewer,10 or fewer,23477
,,,Mar,10 or fewer,10 or fewer,10 or fewer,16323
,,,Apr,10 or fewer,10 or fewer,10 or fewer,5116
,,,May,10 or fewer,10 or fewer,10 or fewer,7537
,,,Jun,10 or fewer,10 or fewer,10 or fewer,9487
,,,Jul,10 or fewer,22,10 or fewer,11090
,,,Aug,10 or fewer,10 or fewer,10 or fewer,11242
,,,Sep,10 or fewer,10 or fewer,10 or fewer,11417
,,,Oct,10 or fewer,10 or fewer,10 or fewer,11306
,,,Nov,10 or fewer,10 or fewer,10 or fewer,10925
,,,Dec,10 or fewer,10 or fewer,10 or fewer,9001
,≥ 15 and < 25 Years,2020,Jan,30,10 or fewer,38,20193
,,,Feb,26,10 or fewer,28,18588
,,,Mar,18,10 or fewer,53,16085
,,,Apr,27,10 or fewer,50,8627
,,,May,27,10 or fewer,60,11301
,,,Jun,32,29,57,13685
,,,Jul,44,40,69,16330
,,,Aug,29,10 or fewer,105,16256
,,,Sep,20,10 or fewer,61,15686
,,,Oct,25,10 or fewer,91,16533
,,,Nov,29,10 or fewer,77,15906
,,,Dec,19,10 or fewer,64,13902
,≥ 25 and < 45 Years,2020,Jan,158,10 or fewer,48,42968
,,,Feb,168,10 or fewer,44,39835
,,,Mar,161,10 or fewer,67,37525
,,,Apr,155,10 or fewer,55,24119
,,,May,158,10 or fewer,83,28477
,,,Jun,208,34,81,32968
,,,Jul,151,85,84,37552
,,,Aug,154,31,105,37402
,,,Sep,153,10 or fewer,103,35694
,,,Oct,152,10 or fewer,115,36661
,,,Nov,139,10 or fewer,101,37369
,,,Dec,122,10 or fewer,80,34460
,≥ 45 and < 65 Years,2020,Jan,63,10 or fewer,13,36752
,,,Feb,63,10 or fewer,10 or fewer,34926
,,,Mar,47,10 or fewer,14,31961
,,,Apr,56,10 or fewer,16,22632
,,,May,79,10 or fewer,20,26481
,,,Jun,70,33,21,29991
,,,Jul,48,92,14,32660
,,,Aug,71,40,20,32942
,,,Sep,71,10 or fewer,22,31596
,,,Oct,59,10 or fewer,18,32739
,,,Nov,51,10 or fewer,17,33255
,,,Dec,64,10 or fewer,18,32604
,65 Years or more,2020,Jan,10 or fewer,10 or fewer,10 or fewer,36169
,,,Feb,10 or fewer,10 or fewer,10 or fewer,33822
,,,Mar,15,10 or fewer,10 or fewer,28251
,,,Apr,10 or fewer,10 or fewer,10 or fewer,21552
,,,May,10 or fewer,11,10 or fewer,26406
,,,Jun,15,26,10 or fewer,29292
,,,Jul,16,67,10 or fewer,30674
,,,Aug,10 or fewer,29,10 or fewer,31200
,,,Sep,12,10 or fewer,11,30717
,,,Oct,10 or fewer,10 or fewer,10 or fewer,32160
,,,Nov,10 or fewer,10 or fewer,15,33212
,,,Dec,17,10 or fewer,11,34545
,No value,2020,Jan,10 or fewer,10 or fewer,10 or fewer,4653
,,,Feb,10 or fewer,10 or fewer,10 or fewer,4529
,,,Mar,10 or fewer,10 or fewer,10 or fewer,4686
,,,Apr,10 or fewer,10 or fewer,10 or fewer,3194
,,,May,10 or fewer,10 or fewer,10 or fewer,3753
,,,Jun,10 or fewer,10 or fewer,10 or fewer,4183
,,,Jul,10 or fewer,10 or fewer,10 or fewer,4245
,,,Aug,10 or fewer,10 or fewer,10 or fewer,4092
,,,Sep,10 or fewer,10 or fewer,12,4477
,,,Oct,10 or fewer,10 or fewer,10 or fewer,4359
,,,Nov,10 or fewer,10 or fewer,10 or fewer,4386
,,,Dec,10 or fewer,10 or fewer,10 or fewer,5760
,"Total: Total includes all data under the Pennsylvania bucket, including data from rows not currently displayed.",2020,Jan,259,10 or fewer,114,167376
,,,Feb,267,10 or fewer,95,155163
,,,Mar,244,10 or fewer,146,134821
,,,Apr,245,10 or fewer,133,85230
,,,May,275,35,179,103948
,,,Jun,325,127,178,119593
,,,Jul,260,308,187,132536
,,,Aug,265,116,243,133118
,,,Sep,257,19,213,129572
,,,Oct,246,10 or fewer,240,133742
,,,Nov,231,10 or fewer,222,135042
,,,Dec,225,10 or fewer,185,130260
North Carolina,Less than 15 Years,2020,Jan,10 or fewer,10 or fewer,10 or fewer,28944
,,,Feb,10 or fewer,10 or fewer,10 or fewer,28558
,,,Mar,10 or fewer,10 or fewer,10 or fewer,19244
,,,Apr,10 or fewer,10 or fewer,10 or fewer,7093
,,,May,10 or fewer,10 or fewer,10 or fewer,8897
,,,Jun,10 or fewer,10 or fewer,10 or fewer,10494
,,,Jul,10 or fewer,10 or fewer,10 or fewer,11694
,,,Aug,10 or fewer,10 or fewer,10 or fewer,11762
,,,Sep,10 or fewer,10 or fewer,10 or fewer,12066
,,,Oct,10 or fewer,10 or fewer,10 or fewer,12948
,,,Nov,10 or fewer,10 or fewer,10 or fewer,12402
,,,Dec,10 or fewer,10 or fewer,10 or fewer,11359
,≥ 15 and < 25 Years,2020,Jan,21,10 or fewer,47,20271
,,,Feb,20,10 or fewer,32,18704
,,,Mar,22,10 or fewer,44,16540
,,,Apr,18,10 or fewer,39,9804
,,,May,23,10 or fewer,50,12460
,,,Jun,27,23,61,14648
,,,Jul,32,53,78,16306
,,,Aug,26,43,38,15860
,,,Sep,18,10 or fewer,82,15742
,,,Oct,18,10 or fewer,65,16457
,,,Nov,17,10 or fewer,74,15555
,,,Dec,23,10 or fewer,74,14885
,≥ 25 and < 45 Years,2020,Jan,94,10 or fewer,60,43494
,,,Feb,87,10 or fewer,48,40407
,,,Mar,106,10 or fewer,41,37392
,,,Apr,94,10 or fewer,52,24649
,,,May,123,10 or fewer,57,29852
,,,Jun,131,51,89,33507
,,,Jul,110,149,87,36970
,,,Aug,134,76,74,36383
,,,Sep,93,42,68,35120
,,,Oct,105,10 or fewer,85,36624
,,,Nov,110,10 or fewer,80,35197
,,,Dec,105,10 or fewer,69,34876
,≥ 45 and < 65 Years,2020,Jan,35,10 or fewer,21,35613
,,,Feb,34,10 or fewer,14,33334
,,,Mar,41,10 or fewer,15,29989
,,,Apr,39,10 or fewer,11,20816
,,,May,49,10 or fewer,14,25264
,,,Jun,43,54,18,28113
,,,Jul,47,108,21,30651
,,,Aug,61,63,19,30407
,,,Sep,47,19,20,29388
,,,Oct,57,10 or fewer,20,30851
,,,Nov,38,10 or fewer,16,29332
,,,Dec,55,10 or fewer,22,30440
,65 Years or more,2020,Jan,14,10 or fewer,10 or fewer,30588
,,,Feb,12,10 or fewer,10 or fewer,28738
,,,Mar,10 or fewer,10 or fewer,10 or fewer,24332
,,,Apr,10 or fewer,10 or fewer,10 or fewer,17357
,,,May,10 or fewer,10 or fewer,10 or fewer,21686
,,,Jun,11,39,10 or fewer,23684
,,,Jul,10 or fewer,84,10 or fewer,25773
,,,Aug,13,35,10 or fewer,26367
,,,Sep,15,15,10 or fewer,26268
,,,Oct,16,10 or fewer,10 or fewer,27605
,,,Nov,10 or fewer,10 or fewer,10 or fewer,26870
,,,Dec,13,10 or fewer,10 or fewer,28608
,No value,2020,Jan,10 or fewer,10 or fewer,10 or fewer,3801
,,,Feb,10 or fewer,10 or fewer,10 or fewer,3897
,,,Mar,10 or fewer,10 or fewer,10 or fewer,3848
,,,Apr,10 or fewer,10 or fewer,10 or fewer,2676
,,,May,10 or fewer,10 or fewer,10 or fewer,2801
,,,Jun,10 or fewer,10 or fewer,10 or fewer,3441
,,,Jul,10 or fewer,10 or fewer,10 or fewer,3877
,,,Aug,10 or fewer,10 or fewer,10 or fewer,3806
,,,Sep,10 or fewer,10 or fewer,10 or fewer,3917
,,,Oct,10 or fewer,10 or fewer,10 or fewer,4101
,,,Nov,10 or fewer,10 or fewer,10 or fewer,4013
,,,Dec,10 or fewer,10 or fewer,10 or fewer,4442
,"Total: Total includes all data under the North Carolina bucket, including data from rows not currently displayed.",2020,Jan,164,10 or fewer,140,162690
,,,Feb,153,10 or fewer,106,153627
,,,Mar,178,14,107,131333
,,,Apr,160,10 or fewer,113,82382
,,,May,204,25,134,100946
,,,Jun,213,173,186,113882
,,,Jul,198,402,198,125248
,,,Aug,238,218,146,124566
,,,Sep,173,86,184,122475
,,,Oct,198,11,187,128570
,,,Nov,174,10 or fewer,186,123354
,,,Dec,198,10 or fewer,179,124594
Virginia,Less than 15 Years,2020,Jan,10 or fewer,10 or fewer,10 or fewer,20682
,,,Feb,10 or fewer,10 or fewer,10 or fewer,20937
,,,Mar,10 or fewer,10 or fewer,10 or fewer,14115
,,,Apr,10 or fewer,10 or fewer,10 or fewer,4598
,,,May,10 or fewer,10 or fewer,10 or fewer,6045
,,,Jun,10 or fewer,10 or fewer,10 or fewer,7551
,,,Jul,10 or fewer,18,10 or fewer,8506
,,,Aug,10 or fewer,10 or fewer,10 or fewer,8366
,,,Sep,10 or fewer,10 or fewer,10 or fewer,8819
,,,Oct,10 or fewer,10 or fewer,10 or fewer,9621
,,,Nov,10 or fewer,10 or fewer,10 or fewer,9110
,,,Dec,10 or fewer,10 or fewer,10 or fewer,8261
,≥ 15 and < 25 Years,2020,Jan,10 or fewer,10 or fewer,16,15995
,,,Feb,13,10 or fewer,11,15223
,,,Mar,10 or fewer,10 or fewer,17,13085
,,,Apr,12,10 or fewer,22,7496
,,,May,12,10 or fewer,29,9347
,,,Jun,12,25,33,11048
,,,Jul,22,60,33,13423
,,,Aug,17,25,33,12545
,,,Sep,23,10 or fewer,34,12485
,,,Oct,31,10 or fewer,26,14022
,,,Nov,26,10 or fewer,41,13247
,,,Dec,27,10 or fewer,33,12679
,≥ 25 and < 45 Years,2020,Jan,49,10 or fewer,26,36661
,,,Feb,66,10 or fewer,19,34738
,,,Mar,71,10 or fewer,29,32746
,,,Apr,53,10 or fewer,19,21028
,,,May,98,10 or fewer,31,24994
,,,Jun,95,59,35,27587
,,,Jul,106,137,32,32858
,,,Aug,76,49,32,31589
,,,Sep,93,21,29,30375
,,,Oct,101,10 or fewer,35,33285
,,,Nov,52,10 or fewer,46,32503
,,,Dec,66,10 or fewer,29,32268
,≥ 45 and < 65 Years,2020,Jan,28,10 or fewer,10 or fewer,30440
,,,Feb,46,10 or fewer,10 or fewer,28911
,,,Mar,38,10 or fewer,10 or fewer,26854
,,,Apr,23,10 or fewer,10 or fewer,18515
,,,May,51,10 or fewer,10 or fewer,22174
,,,Jun,46,49,10 or fewer,24104
,,,Jul,64,143,10 or fewer,27644
,,,Aug,57,40,10 or fewer,26918
,,,Sep,52,21,10 or fewer,26267
,,,Oct,46,10 or fewer,10 or fewer,28627
,,,Nov,59,10 or fewer,10 or fewer,28020
,,,Dec,40,10 or fewer,10 or fewer,28564
,65 Years or more,2020,Jan,10 or fewer,10 or fewer,10 or fewer,28279
,,,Feb,10 or fewer,10 or fewer,10 or fewer,26648
,,,Mar,10 or fewer,10 or fewer,10 or fewer,21829
,,,Apr,10 or fewer,10 or fewer,10 or fewer,15701
,,,May,12,10 or fewer,10 or fewer,19619
,,,Jun,10 or fewer,37,10 or fewer,21686
,,,Jul,11,83,10 or fewer,23756
,,,Aug,16,39,10 or fewer,23951
,,,Sep,12,10 or fewer,10 or fewer,24346
,,,Oct,14,10 or fewer,10 or fewer,26742
,,,Nov,16,10 or fewer,10 or fewer,25938
,,,Dec,14,10 or fewer,10 or fewer,27155
,No value,2020,Jan,10 or fewer,10 or fewer,10 or fewer,3106
,,,Feb,10 or fewer,10 or fewer,10 or fewer,2841
,,,Mar,10 or fewer,10 or fewer,10 or fewer,3116
,,,Apr,10 or fewer,10 or fewer,10 or fewer,2239
,,,May,10 or fewer,10 or fewer,10 or fewer,2656
,,,Jun,10 or fewer,10 or fewer,10 or fewer,2821
,,,Jul,10 or fewer,10 or fewer,10 or fewer,2941
,,,Aug,10 or fewer,10 or fewer,10 or fewer,2963
,,,Sep,10 or fewer,10 or fewer,10 or fewer,3225
,,,Oct,10 or fewer,10 or fewer,10 or fewer,3235
,,,Nov,10 or fewer,10 or fewer,10 or fewer,3193
,,,Dec,10 or fewer,10 or fewer,10 or fewer,3701
,"Total: Total includes all data under the Virginia bucket, including data from rows not currently displayed.",2020,Jan,91,10 or fewer,58,135150
,,,Feb,132,10 or fewer,33,129280
,,,Mar,121,10 or fewer,55,111733
,,,Apr,98,10 or fewer,48,69570
,,,May,175,20,71,84824
,,,Jun,161,173,79,94783
,,,Jul,204,441,73,109112
,,,Aug,167,160,73,106306
,,,Sep,180,61,75,105499
,,,Oct,194,10 or fewer,75,115516
,,,Nov,156,10 or fewer,106,111990
,,,Dec,148,10 or fewer,79,112603
Illinois,Less than 15 Years,2020,Jan,10 or fewer,10 or fewer,10 or fewer,25951
,,,Feb,10 or fewer,10 or fewer,10 or fewer,26527
,,,Mar,10 or fewer,10 or fewer,10 or fewer,17490
,,,Apr,10 or fewer,10 or fewer,10 or fewer,6243
,,,May,10 or fewer,10 or fewer,10 or fewer,8440
,,,Jun,10 or fewer,10 or fewer,10 or fewer,9880
,,,Jul,10 or fewer,10 or fewer,10 or fewer,11894
,,,Aug,10 or fewer,10 or fewer,10 or fewer,12022
,,,Sep,10 or fewer,10 or fewer,10 or fewer,11731
,,,Oct,10 or fewer,10 or fewer,10 or fewer,13152
,,,Nov,10 or fewer,10 or fewer,10 or fewer,12289
,,,Dec,10 or fewer,10 or fewer,10 or fewer,10841
,≥ 15 and < 25 Years,2020,Jan,10 or fewer,10 or fewer,16,14271
,,,Feb,12,10 or fewer,16,14496
,,,Mar,13,10 or fewer,17,12460
,,,Apr,10 or fewer,10 or fewer,32,7492
,,,May,11,10 or fewer,31,9714
,,,Jun,11,23,37,11203
,,,Jul,12,25,46,13302
,,,Aug,12,12,37,13061
,,,Sep,12,10 or fewer,36,12464
,,,Oct,12,10 or fewer,45,13904
,,,Nov,10 or fewer,10 or fewer,36,13768
,,,Dec,10 or fewer,10 or fewer,45,12435
,≥ 25 and < 45 Years,2020,Jan,69,10 or fewer,13,27146
,,,Feb,56,10 or fewer,22,27081
,,,Mar,79,10 or fewer,16,26169
,,,Apr,59,10 or fewer,20,18637
,,,May,89,12,30,21452
,,,Jun,75,43,46,23114
,,,Jul,78,91,54,26777
,,,Aug,68,28,47,26659
,,,Sep,74,10 or fewer,38,25116
,,,Oct,58,10 or fewer,43,28780
,,,Nov,69,10 or fewer,51,29423
,,,Dec,65,10 or fewer,49,27144
,≥ 45 and < 65 Years,2020,Jan,66,10 or fewer,10 or fewer,22676
,,,Feb,57,10 or fewer,10 or fewer,23217
,,,Mar,46,10 or fewer,10 or fewer,21918
,,,Apr,47,10 or fewer,10 or fewer,17383
,,,May,52,11,12,19380
,,,Jun,76,27,10 or fewer,20368
,,,Jul,61,64,10 or fewer,22450
,,,Aug,78,36,10 or fewer,22816
,,,Sep,60,10 or fewer,10 or fewer,22059
,,,Oct,39,10 or fewer,11,25194
,,,Nov,45,10 or fewer,10 or fewer,26628
,,,Dec,53,10 or fewer,10 or fewer,25511
,65 Years or more,2020,Jan,13,10 or fewer,10 or fewer,22378
,,,Feb,10 or fewer,10 or fewer,10 or fewer,23110
,,,Mar,10 or fewer,10 or fewer,10 or fewer,20143
,,,Apr,10 or fewer,10 or fewer,10 or fewer,15418
,,,May,10 or fewer,11,10 or fewer,18741
,,,Jun,13,30,10 or fewer,20315
,,,Jul,15,36,10 or fewer,21404
,,,Aug,10 or fewer,13,10 or fewer,22215
,,,Sep,11,10 or fewer,10 or fewer,21789
,,,Oct,11,10 or fewer,10 or fewer,25142
,,,Nov,15,10 or fewer,10 or fewer,26374
,,,Dec,12,10 or fewer,10 or fewer,26868
,No value,2020,Jan,10 or fewer,10 or fewer,10 or fewer,2642
,,,Feb,10 or fewer,10 or fewer,10 or fewer,2752
,,,Mar,10 or fewer,10 or fewer,10 or fewer,2984
,,,Apr,10 or fewer,10 or fewer,10 or fewer,2306
,,,May,10 or fewer,10 or fewer,10 or fewer,2673
,,,Jun,10 or fewer,10 or fewer,10 or fewer,2754
,,,Jul,10 or fewer,10 or fewer,10 or fewer,2663
,,,Aug,10 or fewer,10 or fewer,10 or fewer,2703
,,,Sep,10 or fewer,10 or fewer,10 or fewer,2964
,,,Oct,10 or fewer,10 or fewer,10 or fewer,3007
,,,Nov,10 or fewer,10 or fewer,10 or fewer,3605
,,,Dec,10 or fewer,10 or fewer,10 or fewer,4258
,"Total: Total includes all data under the Illinois bucket, including data from rows not currently displayed.",2020,Jan,153,10 or fewer,40,115046
,,,Feb,134,10 or fewer,44,117173
,,,Mar,145,10 or fewer,41,101150
,,,Apr,121,10 or fewer,62,67473
,,,May,161,38,78,80393
,,,Jun,175,125,100,87622
,,,Jul,166,222,116,98478
,,,Aug,166,92,98,99463
,,,Sep,159,17,91,96112
,,,Oct,119,10 or fewer,101,109169
,,,Nov,138,10 or fewer,109,112075
,,,Dec,140,10 or fewer,109,107048
Michigan,Less than 15 Years,2020,Jan,10 or fewer,10 or fewer,10 or fewer,19949
,,,Feb,10 or fewer,10 or fewer,10 or fewer,20750
,,,Mar,10 or fewer,10 or fewer,10 or fewer,13859
,,,Apr,10 or fewer,10 or fewer,10 or fewer,4626
,,,May,10 or fewer,10 or fewer,10 or fewer,7183
,,,Jun,10 or fewer,10 or fewer,10 or fewer,9333
,,,Jul,10 or fewer,10 or fewer,10 or fewer,11034
,,,Aug,10 or fewer,10 or fewer,10 or fewer,10851
,,,Sep,10 or fewer,10 or fewer,10 or fewer,10976
,,,Oct,10 or fewer,10 or fewer,10 or fewer,10655
,,,Nov,10 or fewer,10 or fewer,10 or fewer,9225
,,,Dec,10 or fewer,10 or fewer,10 or fewer,8018
,≥ 15 and < 25 Years,2020,Jan,11,10 or fewer,15,14273
,,,Feb,16,10 or fewer,18,15261
,,,Mar,10 or fewer,10 or fewer,14,12615
,,,Apr,15,10 or fewer,14,6774
,,,May,18,10 or fewer,30,9343
,,,Jun,17,20,33,12260
,,,Jul,21,24,48,14879
,,,Aug,10 or fewer,16,45,14617
,,,Sep,16,10 or fewer,61,13674
,,,Oct,10 or fewer,10 or fewer,39,14074
,,,Nov,15,10 or fewer,49,13210
,,,Dec,10 or fewer,10 or fewer,28,11289
,≥ 25 and < 45 Years,2020,Jan,80,10 or fewer,14,28693
,,,Feb,89,10 or fewer,15,31489
,,,Mar,140,10 or fewer,28,29563
,,,Apr,111,10 or fewer,29,18521
,,,May,131,14,38,22396
,,,Jun,149,50,66,27247
,,,Jul,127,80,79,31160
,,,Aug,144,19,69,31127
,,,Sep,122,10 or fewer,63,28860
,,,Oct,107,10 or fewer,56,29407
,,,Nov,88,10 or fewer,43,28710
,,,Dec,86,10 or fewer,36,26377
,≥ 45 and < 65 Years,2020,Jan,26,10 or fewer,10 or fewer,23121
,,,Feb,42,10 or fewer,13,26966
,,,Mar,39,10 or fewer,10 or fewer,25817
,,,Apr,33,10 or fewer,11,18152
,,,May,54,10 or fewer,10 or fewer,21305
,,,Jun,74,30,19,23995
,,,Jul,76,58,19,26668
,,,Aug,63,17,10 or fewer,26934
,,,Sep,54,10 or fewer,13,25371
