Session Title,OBESITY by ICD and BMI County Age 2025,,,
,"WORTH, MO",9.33%,-,193
,"CHARLES, MD",7.73%,1.94%,3090
,"CLAIBORNE, MS",15.86%,7.05%,227
,"MONTGOMERY, KY",9.66%,8.30%,735
,"CUSTER, NE",5.53%,-,235
,"DENT, MO",8.67%,1.80%,1165
,"JOHNSON, KY",12.39%,9.79%,654
,"WARREN, NC",10.38%,6.26%,607
,"TAYLOR, KY",13.33%,7.14%,420
,"CLAY, MS",9.90%,2.57%,2837
,"KNOX, MO",-,-,10 or fewer
,"MADISON, KY",10.52%,6.08%,7998
,"KEYA PAHA, NE",-,-,16
,"ROBERTSON, KY",14.29%,16.67%,84
,"SMITH, MS",8.04%,4.02%,896
,"SAINT HELENA, LA",7.40%,5.38%,446
,"LAFAYETTE, MO",6.10%,-,295
,"BUFFALO, NE",7.65%,1.12%,1163
,"GALLATIN, KY",10.32%,5.16%,1240
,"MARION, MS",10.08%,4.26%,3404
,"LOUP, NE",-,-,10 or fewer
,"GRAYSON, KY",10.25%,5.28%,1268
,"CASS, NE",7.92%,2.08%,720
,"WILKINSON, MS",9.13%,7.94%,252
,"QUITMAN, MS",13.40%,12.37%,97
,"CLARKE, MS",8.75%,5.22%,1783
,"HAMILTON, NE",5.35%,-,243
,"MARTIN, KY",11.30%,6.16%,292
,"LINCOLN, KY",12.64%,10.88%,625
,"OWSLEY, KY",13.33%,-,120
,"WICOMICO, MD",10.65%,5.00%,7597
,"PENDLETON, KY",10.11%,5.77%,2442
,"GREENE, MS",8.61%,3.47%,720
,"MENOMINEE, MI",8.16%,3.79%,2769
,"CLAY, KY",14.33%,9.55%,3685
,"MONROE, MS",10.74%,3.20%,3286
,"GARFIELD, NE",-,-,10 or fewer
,"CASWELL, NC",8.06%,7.67%,1290
,"LEE, KY",10.12%,7.23%,346
,"MERCER, KY",9.33%,8.70%,943
,"CHOCTAW, MS",9.07%,4.03%,496
,"DE BACA, NM",-,-,10 or fewer
,"DAVIDSON, NC",7.52%,4.82%,9896
,"LENAWEE, MI",7.57%,4.69%,11363
,"FULTON, KY",9.30%,10.06%,527
,"HILLSDALE, MI",8.41%,3.31%,3200
,"WORCESTER, MD",11.16%,4.07%,2214
,"LAKE, MI",8.64%,4.83%,787
,"HARLAN, KY",12.70%,7.62%,630
,"IBERVILLE, LA",8.07%,4.81%,3991
,"ATCHISON, MO",-,-,85
,"KNOX, KY",14.44%,9.66%,2992
,"WOLFE, KY",9.03%,9.72%,144
,"JEFFERSON, NY",5.19%,3.69%,597
,"DAWSON, NE",5.34%,-,468
,"LAFOURCHE, LA",9.18%,3.58%,3691
,"GEORGE, MS",7.89%,1.82%,1482
,"DODGE, NE",10.07%,-,149
,"ESTILL, KY",11.63%,5.27%,1367
,"COPIAH, MS",8.68%,4.74%,1140
,"OKTIBBEHA, MS",9.01%,4.81%,1288
,"NESHOBA, MS",10.67%,5.12%,2127
,"VANCE, NC",8.97%,8.33%,2041
,"THAYER, NE",-,-,98
,"WINSTON, MS",9.58%,5.87%,647
,"MERRICK, NE",6.89%,2.86%,769
,"JOHNSON, NE",-,-,124
,"HOWARD, MO",-,-,10 or fewer
,"PASQUOTANK, NC",9.09%,5.40%,4093
,"MENIFEE, KY",14.85%,11.88%,202
,"CAMERON, LA",-,-,68
,"HICKMAN, KY",6.03%,6.74%,282
,"NASH, NC",9.60%,9.44%,9121
,"NOXUBEE, MS",7.77%,4.30%,605
,"CIBOLA, NM",-,-,55
,"LINCOLN, MS",9.12%,4.33%,1086
,"HENRY, MO",-,-,35
,"FARIBAULT, MN",9.80%,4.41%,1429
,"CHICKASAW, MS",8.95%,4.58%,1921
,"CLEVELAND, NC",6.99%,9.99%,2703
,"CAROLINE, MD",8.64%,4.47%,3601
,"ROBESON, NC",10.01%,4.53%,10485
,"BEAUFORT, NC",8.62%,5.53%,4198
,"HENRY, KY",9.83%,4.49%,2827
,"CALDWELL, MO",8.82%,-,238
,"JEFFERSON DAVIS, LA",7.92%,4.31%,2322
,"GREENE, NC",9.60%,8.47%,1323
,"RUTHERFORD, NC",9.16%,4.31%,928
,"ROWAN, NC",9.48%,8.60%,8881
,"MAGOFFIN, KY",10.62%,8.55%,433
,"BRACKEN, KY",11.93%,7.22%,679
,"GRANT, KY",10.51%,3.62%,5747
,"WILKES, NC",9.32%,6.36%,1416
,"RED WILLOW, NE",7.93%,-,227
,"ATTALA, MS",12.13%,5.21%,1574
,"HYDE, NC",10.98%,7.95%,264
,"TEXAS, MO",4.18%,-,502
,"ADAMS, MS",9.52%,5.48%,420
,"RICHARDSON, NE",-,-,97
,"MARSHALL, MS",8.43%,4.94%,1519
,"CALDWELL, KY",7.74%,5.28%,853
,"SCOTT, MS",10.27%,3.71%,1859
,"HARNETT, NC",7.88%,5.64%,10528
,"ALAMANCE, NC",7.60%,7.24%,19831
,"HARDIN, KY",8.93%,4.73%,18677
,"JONES, NC",5.88%,5.10%,255
,"DUNKLIN, MO",9.14%,5.20%,1039
,"COAHOMA, MS",10.47%,11.52%,382
,"VALENCIA, NM",6.05%,-,314
,"LUCE, MI",-,-,35
,"BOYD, NE",-,-,33
,"LIVINGSTON, KY",6.65%,2.88%,1113
,"DAVIESS, MO",4.20%,-,286
,"POINTE COUPEE, LA",9.78%,6.74%,2628
,"RUSSELL, KY",14.23%,7.53%,239
,"PEARL RIVER, MS",9.90%,3.45%,8234
,"VALLEY, NE",-,-,46
,"OTOE, NE",-,-,237
,"CLINTON, NY",8.39%,3.33%,5076
,"HINDS, MS",8.74%,5.42%,19237
,"ANTELOPE, NE",6.98%,-,344
,"STOKES, NC",7.32%,4.55%,5166
,"PEMISCOT, MO",8.97%,12.73%,825
,"MORGAN, MO",-,-,21
,"FREEBORN, MN",8.12%,-,234
,"VERNON, MO",-,-,38
,"WHITLEY, KY",11.85%,7.49%,6252
,"PANOLA, MS",9.07%,4.45%,1147
,"BATES, MO",-,-,108
,"MILLE LACS, MN",5.30%,8.94%,3265
,"CUMBERLAND, NC",8.44%,6.35%,26320
,"LYON, KY",6.40%,3.37%,594
,"BRECKINRIDGE, KY",7.41%,5.08%,1457
,"OCEANA, MI",9.74%,9.92%,4887
,"DESOTO, MS",9.00%,5.80%,7435
,"BROWN, NE",-,-,29
,"MARION, MO",-,-,11
,"WEBSTER, MS",9.92%,3.69%,1381
,"TORRANCE, NM",-,-,60
,"PETTIS, MO",-,-,38
,"SARPY, NE",6.54%,1.93%,4406
,"BULLITT, KY",7.23%,5.17%,14075
,"BOLLINGER, MO",8.28%,1.85%,918
,"REYNOLDS, MO",12.03%,4.87%,349
,"JOHNSTON, NC",7.17%,5.37%,22314
,"HOKE, NC",7.72%,7.89%,2888
,"SUNFLOWER, MS",12.55%,8.30%,542
,"CLAY, NE",7.94%,4.76%,378
,"BALLARD, KY",8.90%,4.73%,888
,"NIAGARA, NY",10.88%,4.14%,3502
,"SURRY, NC",6.53%,4.30%,4348
,"ROCKINGHAM, NC",10.04%,9.20%,10669
,"PERQUIMANS, NC",8.67%,5.26%,1349
,"MCCREARY, KY",11.38%,8.88%,1081
,"RANDOLPH, NC",8.08%,5.16%,4938
,"ORLEANS, NY",6.82%,5.01%,3315
,"SIMPSON, MS",9.17%,4.16%,1537
,"PERRY, MO",4.63%,-,259
,"POLK, NE",-,-,42
,"CHOWAN, NC",9.92%,6.93%,2036
,"MARSHALL, KY",8.75%,3.21%,4148
,"YADKIN, NC",7.14%,9.26%,3444
,"UNION, KY",9.22%,7.81%,2202
,"CARROLL, MO",-,-,100
,"BOONE, NE",-,-,51
,"PULASKI, KY",10.88%,9.18%,1590
,"TRIGG, KY",7.88%,-,165
,"AITKIN, MN",8.01%,5.52%,1523
,"JOHNSON, MO",5.08%,-,433
,"MADISON, LA",8.75%,6.88%,160
,"ASSUMPTION, LA",9.42%,8.23%,1518
,"CATTARAUGUS, NY",8.10%,3.54%,395
,"MONTGOMERY, MS",7.77%,5.45%,862
,"MARION, KY",11.54%,7.05%,624
,"SAINT JAMES, LA",7.79%,9.30%,1592
,"CASS, MI",8.34%,4.96%,4338
,"FRANKLIN, NC",7.15%,4.44%,7313
,"SCHOHARIE, NY",9.14%,7.52%,3391
,"SEWARD, NE",5.03%,-,318
,"FRONTIER, NE",12.79%,-,172
,"PLATTE, NE",3.30%,-,364
,"WASHINGTON, MD",8.56%,3.05%,16495
,"WEST BATON ROUGE, LA",8.09%,5.77%,4822
,"GARRARD, KY",10.82%,6.79%,1664
,"MUSKEGON, MI",7.39%,4.86%,26974
,"LESLIE, KY",15.56%,4.94%,1234
,"SAINT CHARLES, LA",7.82%,4.11%,5521
,"LEAKE, MS",11.80%,4.73%,2432
,"ROCKCASTLE, KY",9.98%,9.33%,611
,"LEWIS, NY",7.19%,-,167
,"STONE, MS",8.20%,3.08%,1951
,"WASHINGTON, LA",9.17%,9.07%,4102
,"RAY, MO",4.65%,-,344
,"CASS, MO",4.02%,1.32%,1891
,"MUSSELSHELL, MT",12.50%,-,88
,"KNOTT, KY",9.97%,8.76%,913
,"HERKIMER, NY",9.01%,6.74%,6883
,"BARTON, MO",-,-,24
,"OSAGE, MO",-,-,32
,"HENDERSON, KY",8.65%,6.72%,7469
,"RIPLEY, MO",8.07%,4.23%,756
,"ADAMS, NE",8.34%,2.90%,2795
,"CARROLL, KY",8.82%,4.28%,1564
,"ITASCA, MN",7.23%,6.18%,7120
,"WHEELER, NE",-,-,11
,"GUADALUPE, NM",-,-,12
,"WEBSTER, KY",9.46%,7.92%,1363
,"GRANVILLE, NC",7.55%,6.96%,5389
,"DELTA, MI",7.53%,2.97%,4408
,"SAINT BERNARD, LA",6.44%,6.48%,2608
,"SAINT MARTIN, LA",8.58%,3.11%,4696
,"MISSISSIPPI, MO",11.50%,5.27%,1879
,"MASON, MI",8.12%,3.85%,4313
,"ANSON, NC",6.98%,6.45%,946
,"DONA ANA, NM",11.59%,7.07%,509
,"CHENANGO, NY",9.76%,7.90%,8022
,"DUPLIN, NC",8.08%,5.78%,4913
,"WEBSTER, NE",6.99%,-,186
,"MONTCALM, MI",7.93%,3.50%,8912
,"MCKINLEY, NM",-,-,54
,"MONROE, MI",6.44%,4.81%,15894
,"WARREN, MS",9.78%,5.64%,1595
,"PISCATAQUIS, ME",11.90%,7.14%,168
,"JACKSON, MI",8.20%,6.39%,23453
,"ANNE ARUNDEL, MD",5.63%,3.59%,10884
,"RANDOLPH, MO",-,-,13
,"COLFAX, NE",-,-,86
,"OSCEOLA, MI",10.06%,5.03%,2882
,"SCOTLAND, NC",12.74%,7.01%,471
,"TISHOMINGO, MS",10.76%,2.96%,2267
,"PHELPS, MO",8.61%,2.53%,4739
,"CARROLL, MS",9.52%,6.39%,924
,"TALLAHATCHIE, MS",8.56%,5.86%,444
,"ITAWAMBA, MS",8.79%,3.21%,2800
,"CHEROKEE, NC",10.70%,2.54%,1495
,"GREEN, KY",12.35%,7.69%,429
,"YALOBUSHA, MS",9.08%,3.07%,716
,"SAINT LAWRENCE, NY",8.63%,9.10%,11527
,"PRINCE GEORGES, MD",4.81%,1.90%,8740
,"SAINT CLAIR, MO",-,-,24
,"WAYNE, MO",11.30%,1.56%,1345
,"SAINT LANDRY, LA",8.07%,4.83%,3953
,"LAUDERDALE, MS",7.78%,6.21%,9039
,"HARFORD, MD",6.19%,2.78%,10065
,"MADISON, NY",8.91%,3.84%,2189
,"JACKSON, MS",7.51%,3.50%,13076
,"MOREHOUSE, LA",7.84%,7.71%,791
,"BOX BUTTE, NE",7.26%,7.26%,179
,"ALLEGANY, MD",9.13%,3.87%,2530
,"MONTGOMERY, NY",9.11%,5.57%,1581
,"CHERRY, NE",-,-,120
,"IBERIA, LA",6.83%,4.05%,2768
,"TANGIPAHOA, LA",7.68%,4.81%,16971
,"PENOBSCOT, ME",8.26%,4.54%,2578
,"NUCKOLLS, NE",-,-,89
,"RANKIN, MS",8.12%,4.15%,12146
,"GRANT, MN",8.77%,4.02%,821
,"LIVINGSTON, MO",4.51%,1.99%,1706
,"FRANKLIN, KY",8.14%,5.07%,7060
,"MORRISON, MN",5.74%,4.08%,3551
,"IONIA, MI",7.33%,3.96%,6737
,"CRITTENDEN, KY",5.00%,2.76%,580
,"CLAY, MO",5.80%,2.97%,5625
,"CHAUTAUQUA, NY",8.01%,2.48%,1248
,"JACKSON, MO",4.97%,3.40%,11245
,"WASHINGTON, NY",10.77%,3.66%,2870
,"MECOSTA, MI",8.04%,4.01%,5362
,"KANABEC, MN",6.31%,5.71%,333
,"BREATHITT, KY",12.82%,8.48%,507
,"COOPER, MO",-,-,17
,"NODAWAY, MO",7.42%,2.30%,2170
,"MASON, KY",9.11%,10.06%,527
,"DEUEL, NE",-,-,136
,"GAGE, NE",7.52%,2.87%,3549
,"PERSON, NC",6.99%,4.88%,3548
,"NEWAYGO, MI",7.33%,3.38%,7719
,"LAMAR, MS",8.55%,7.25%,8950
,"CORTLAND, NY",7.36%,2.95%,3520
,"STODDARD, MO",8.60%,4.28%,2361
,"PITT, NC",7.35%,8.70%,17735
,"EAST FELICIANA, LA",9.30%,8.18%,2139
,"GRAVES, KY",6.59%,3.60%,3611
,"MCDOWELL, NC",11.76%,3.74%,2457
,"TATE, MS",8.37%,6.08%,609
,"MARTIN, MN",6.98%,2.79%,1217
,"GLOUCESTER, NJ",6.72%,4.70%,17805
,"HART, KY",8.24%,3.19%,595
,"PASSAIC, NJ",7.19%,4.14%,2559
,"PONTOTOC, MS",6.94%,3.78%,3601
,"GRUNDY, MO",7.86%,3.65%,1259
,"RICHLAND, LA",7.86%,3.78%,687
,"ISANTI, MN",4.70%,5.89%,2428
,"MORRILL, NE",-,-,223
,"RED LAKE, MN",5.75%,1.96%,713
,"ALGER, MI",-,-,72
,"MAHNOMEN, MN",11.37%,6.40%,906
,"BURT, NE",-,-,47
,"ISSAQUENA, MS",-,-,23
,"PRENTISS, MS",8.43%,3.85%,2704
,"CALHOUN, MI",8.10%,3.68%,11379
,"SHELBY, KY",7.54%,4.59%,7520
,"NORMAN, MN",6.07%,4.57%,1137
,"CRAWFORD, MO",6.46%,-,542
,"OUACHITA, LA",10.10%,6.62%,13036
,"GENESEE, NY",7.69%,5.98%,6986
,"TODD, MN",6.51%,4.54%,3612
,"CALCASIEU, LA",9.05%,4.36%,4429
,"DAVIE, NC",6.52%,5.08%,3267
,"GARRETT, MD",8.10%,3.03%,2938
,"SHANNON, MO",-,-,60
,"UNION, LA",6.48%,5.01%,679
,"CARTER, KY",14.40%,10.12%,840
,"BRANCH, MI",9.83%,5.81%,4455
,"BOONE, KY",6.59%,4.45%,22571
,"ARENAC, MI",23.73%,-,59
,"OWEN, KY",9.17%,4.35%,1080
,"RICHLAND, MT",6.49%,2.97%,1819
,"CALHOUN, MS",9.04%,3.71%,1482
,"WASHINGTON, NE",-,-,118
,"SENECA, NY",8.61%,19.55%,2951
,"ERIE, NY",9.00%,5.60%,10527
,"ACADIA, LA",7.13%,3.60%,4587
,"BENTON, MS",8.95%,4.56%,570
,"WYOMING, NY",7.34%,4.70%,2533
,"RENSSELAER, NY",8.76%,11.83%,11592
,"LOWNDES, MS",8.09%,3.85%,6252
,"CAYUGA, NY",8.78%,5.83%,1253
,"TENSAS, LA",-,-,67
,"WASHINGTON, MS",10.85%,6.43%,949
,"BEAUREGARD, LA",7.86%,4.84%,496
,"DORCHESTER, MD",10.79%,7.36%,4403
,"FRANKLIN, LA",7.40%,3.36%,446
,"BRUNSWICK, NC",7.47%,6.49%,8753
,"CALLOWAY, KY",7.97%,3.53%,1217
,"MERCER, MO",4.17%,-,336
,"KENTON, KY",7.27%,5.10%,23382
,"BOYLE, KY",12.55%,9.58%,1044
,"ELLIOTT, KY",15.53%,10.36%,309
,"BUTLER, MO",9.15%,3.54%,5649
,"MCCRACKEN, KY",8.75%,4.00%,11412
,"PINE, MN",7.01%,4.63%,1640
,"WOODFORD, KY",5.79%,6.35%,1260
,"MONTGOMERY, NC",12.86%,9.71%,350
,"CONCORDIA, LA",8.45%,3.87%,284
,"SAUNDERS, NE",6.67%,-,330
,"GLACIER, MT",8.53%,-,129
,"WARREN, NJ",7.55%,5.33%,7114
,"VAN BUREN, MI",8.43%,5.57%,13239
,"ALLEGANY, NY",7.00%,6.78%,4571
,"GREENE, NY",8.56%,6.98%,3283
,"ONONDAGA, NY",9.69%,13.87%,16165
,"LINN, MO",4.14%,-,411
,"SHARKEY, MS",9.85%,-,132
,"CUMING, NE",-,-,177
,"CAMDEN, NC",6.29%,2.61%,1034
,"CURRITUCK, NC",4.57%,2.18%,1793
,"CUMBERLAND, NJ",8.24%,5.46%,3883
,"PENDER, NC",7.12%,5.05%,3049
,"FORREST, MS",9.19%,9.24%,18426
,"BELL, KY",9.32%,4.57%,1685
,"MONTGOMERY, MO",-,-,10 or fewer
,"CARLISLE, KY",5.94%,3.20%,657
,"QUEEN ANNES, MD",6.28%,2.87%,2438
,"BLAINE, MT",-,-,64
,"KNOX, NE",-,-,206
,"ALLEGHANY, NC",-,-,93
,"FLEMING, KY",11.44%,8.58%,734
,"HURON, MI",-,-,104
,"CASEY, KY",10.60%,7.24%,566
,"WEST CARROLL, LA",12.25%,5.53%,253
,"CAMPBELL, KY",7.43%,5.02%,12183
,"SCOTTS BLUFF, NE",6.23%,4.91%,3256
,"MARSHALL, MN",6.69%,4.34%,1704
,"STANTON, NE",7.00%,-,257
,"LEFLORE, MS",8.52%,7.18%,2829
,"GRENADA, MS",7.67%,3.90%,2335
,"SAINTE GENEVIEVE, MO",-,-,180
,"DUNDY, NE",-,-,43
,"JEFFERSON, NE",4.93%,1.95%,771
,"LIVINGSTON, LA",8.03%,5.89%,25465
,"YANCEY, NC",8.39%,12.26%,155
,"GARDEN, NE",-,-,72
,"UNION, MS",7.44%,4.78%,3617
,"PLAQUEMINES, LA",6.66%,3.96%,1516
,"CHISAGO, MN",5.11%,4.05%,7240
,"MARIES, MO",6.40%,2.08%,625
,"DELAWARE, NY",9.14%,6.96%,6139
,"SCOTT, MO",9.81%,5.18%,4942
,"STEVENS, MN",4.83%,-,331
,"BATH, KY",12.49%,10.99%,1001
,"KIMBALL, NE",-,-,152
,"MEEKER, MN",5.88%,5.51%,1071
,"SAINT CLAIR, MI",7.41%,3.20%,1688
,"FULTON, NY",10.21%,5.13%,1695
,"LINCOLN, NE",6.45%,2.34%,5334
,"CAMDEN, NJ",7.70%,7.14%,50332
,"BERRIEN, MI",7.24%,4.93%,19935
,"LEWIS, KY",7.84%,8.21%,268
,"DOUGLAS, NE",7.85%,4.18%,8917
,"SALEM, NJ",7.59%,5.47%,4517
,"ONEIDA, NY",8.78%,10.98%,14885
,"WILKIN, MN",7.35%,5.15%,1224
,"CHEYENNE, NE",6.36%,1.94%,1493
,"PHILLIPS, MT",-,-,19
,"CHIPPEWA, MN",5.33%,6.01%,582
,"OREGON, MO",-,-,64
,"ASHE, NC",9.02%,-,410
,"PONDERA, MT",-,-,117
,"SHERIDAN, MT",-,-,114
,"KENT, MD",8.41%,3.55%,1154
,"ADAIR, KY",12.85%,6.84%,599
,"CLINTON, KY",13.47%,8.55%,386
,"KOOCHICHING, MN",6.74%,2.90%,1692
,"BURLINGTON, NJ",6.32%,4.47%,33675
,"SHERIDAN, NE",-,-,54
,"ESSEX, NY",10.78%,2.06%,2282
,"DICKINSON, MI",7.46%,4.68%,2950
,"MCLEAN, KY",11.56%,4.76%,294
,"BOLIVAR, MS",10.36%,5.18%,560
,"RICHMOND, NC",10.54%,5.18%,598
,"AUDRAIN, MO",-,-,10 or fewer
,"HAYWOOD, NC",6.18%,-,275
,"BRISTOL, MA",7.32%,9.90%,41720
,"SANILAC, MI",7.48%,-,321
,"PENNINGTON, MN",6.39%,4.11%,2192
,"JEFFERSON, LA",6.70%,4.21%,26584
,"CASS, MN",6.88%,5.28%,3824
,"TIOGA, NY",8.13%,4.10%,7319
,"FRANKLIN, ME",8.38%,4.34%,2946
,"GREELEY, NE",-,-,22
,"ALCORN, MS",7.27%,4.27%,1266
,"PULASKI, MO",5.53%,1.88%,3780
,"VERMILION, LA",7.29%,4.23%,5157
,"SOMERSET, ME",7.32%,3.86%,1011
,"TIPPAH, MS",7.42%,5.22%,1456
,"BENTON, MN",5.15%,5.72%,6133
,"WALDO, ME",8.23%,4.86%,3026
,"MADISON, NC",11.20%,13.40%,1134
,"CHOUTEAU, MT",6.20%,3.50%,371
,"PERSHING, NV",-,-,150
,"MITCHELL, NC",-,-,162
,"WASHINGTON, ME",-,-,180
,"WAYNE, NY",8.11%,17.81%,14865
,"JEFFERSON, KY",6.98%,6.60%,105218
,"LIVINGSTON, NY",6.99%,4.34%,7579
,"BARRY, MI",6.08%,2.65%,7662
,"MCPHERSON, NE",-,-,36
,"LIBERTY, MT",-,-,34
,"LEE, MS",7.49%,3.97%,12705
,"ASCENSION, LA",7.80%,9.12%,25695
,"OGEMAW, MI",14.44%,-,90
,"CARROLL, MD",5.30%,1.85%,2321
,"CARTER, MO",9.00%,3.14%,700
,"SAINT MARYS, MD",6.20%,3.01%,532
,"OTSEGO, NY",8.02%,9.04%,8638
,"WABASHA, MN",4.21%,-,309
,"GLADWIN, MI",-,-,110
,"BURKE, NC",7.58%,4.16%,5383
,"WAYNE, MI",6.74%,4.91%,133385
,"ALLEN, LA",7.01%,5.45%,385
,"SULLIVAN, NH",7.60%,5.49%,4210
,"CALDWELL, LA",5.90%,6.23%,305
,"MILLER, MO",-,-,75
,"BIG HORN, MT",9.69%,5.81%,258
,"SCOTLAND, MO",-,-,11
,"ELKO, NV",6.09%,3.71%,2102
,"CAPE MAY, NJ",8.32%,4.59%,2091
,"SAINT MARY, LA",7.17%,2.99%,2875
,"ALLEGAN, MI",5.83%,3.29%,13787
,"AROOSTOOK, ME",7.31%,9.01%,2874
,"CALDWELL, NC",8.65%,8.53%,10264
,"METCALFE, KY",12.28%,-,114
,"FORSYTH, NC",7.09%,6.74%,47177
,"LANDER, NV",-,-,99
,"GOLDEN VALLEY, MT",-,-,26
,"BALTIMORE, MD",5.37%,4.45%,26731
,"CHARITON, MO",-,-,49
,"STEUBEN, NY",7.53%,4.75%,15038
,"LEE, NC",7.04%,6.47%,3650
,"WADENA, MN",6.07%,4.25%,2142
,"JESSAMINE, KY",8.15%,6.81%,6824
,"ONSLOW, NC",6.67%,4.18%,4950
,"PAMLICO, NC",7.74%,-,155
,"WAYNE, NE",7.13%,-,1136
,"PUTNAM, MO",-,-,50
,"MARQUETTE, MI",9.66%,5.30%,321
,"SIBLEY, MN",-,-,41
,"SULLIVAN, MO",-,-,78
,"TRAVERSE, MN",7.82%,2.73%,550
,"LOGAN, NE",-,-,110
,"KENNEBEC, ME",8.73%,5.00%,3321
,"SCHUYLER, NY",7.35%,3.97%,1865
,"BECKER, MN",5.63%,3.92%,6094
,"HAMPDEN, MA",7.95%,10.20%,19393
,"LYON, NV",6.93%,3.90%,4645
,"MACOMB, MI",6.49%,4.72%,50080
,"HANCOCK, MS",7.35%,2.35%,3835
,"MADISON, MS",7.79%,5.76%,9240
,"GUILFORD, NC",6.89%,10.14%,51418
,"BOURBON, KY",9.18%,11.51%,5064
,"CROW WING, MN",5.61%,2.74%,8710
,"MADISON, NE",5.35%,1.26%,3718
,"STANLY, NC",4.59%,4.95%,1959
,"LANCASTER, NE",6.30%,1.37%,13531
