Session Title,OBESITY by ICD and BMI State Age 2024,,,
,District of Columbia,28.58%,12.28%,112934
,Alaska,27.89%,11.76%,10952
,Washington,27.55%,11.72%,1414681
,Rhode Island,27.40%,19.97%,609797
,California,26.09%,14.98%,7376512
,Colorado,25.39%,13.00%,2536016
,Hawaii,25.29%,13.22%,561232
,Utah,24.05%,11.72%,559198
,None of the above,30.55%,16.32%,1304533
,Total,34.96%,20.63%,115080506
