Session Title,OBESITY by ICD and BMI State Age 2023,,,
,Mississippi,48.07%,18.58%,157794
,West Virginia,48.16%,21.51%,83994
,Indiana,46.84%,21.71%,283840
,Missouri,41.99%,22.92%,102244
,Nebraska,42.25%,16.47%,73316
,Ohio,43.69%,23.35%,894037
,Maryland,40.55%,23.01%,187512
,North Carolina,42.43%,21.60%,596091
,South Carolina,43.02%,19.97%,315783
,Kansas,38.62%,17.92%,85879
,Louisiana,42.58%,20.09%,221206
,Tennessee,42.48%,16.96%,113091
,Pennsylvania,39.21%,19.80%,741656
,Iowa,44.66%,21.87%,175981
,Puerto Rico,41.45%,29.33%,2598
,Michigan,40.64%,20.97%,478315
,Arkansas,48.06%,23.20%,85472
,Virginia,39.82%,18.43%,446645
,Oklahoma,44.10%,18.09%,102018
,Delaware,47.18%,23.80%,36147
,Illinois,41.18%,20.26%,554986
,Maine,37.17%,18.73%,65383
,Wisconsin,40.05%,18.81%,333977
,New Jersey,35.79%,16.27%,268797
,Connecticut,36.84%,20.48%,249204
,New York,34.97%,17.55%,638091
,Minnesota,36.48%,19.91%,265449
,Texas,42.50%,21.84%,1006048
,Idaho,39.24%,19.18%,87833
,North Dakota,38.75%,23.87%,68846
,New Mexico,36.67%,16.90%,24424
,New Hampshire,36.34%,16.24%,49726
,Georgia,38.76%,17.22%,284909
,Wyoming,37.53%,13.72%,13170
,Massachusetts,30.93%,19.90%,353174
,Florida,36.99%,19.26%,709316
,South Dakota,35.69%,18.16%,43220
,District of Columbia,24.36%,10.80%,21464
,Arizona,31.88%,15.39%,143706
,Alaska,36.22%,13.60%,1154
,Oregon,31.83%,14.76%,216590
,Vermont,30.13%,13.04%,36984
,Nevada,31.92%,13.71%,100088
,Rhode Island,27.93%,16.06%,64790
,Montana,27.07%,10.08%,36188
,Washington,26.01%,10.08%,193550
,California,29.08%,13.76%,825319
,Hawaii,31.79%,14.23%,56233
,Utah,27.85%,12.18%,76965
,Colorado,27.94%,11.60%,330054
,None of the above,30.52%,13.95%,217528
,Total,38.51%,19.08%,12842159
≥ 35 and < 45 Years,Alabama,50.40%,27.01%,54178
,Kentucky,52.24%,30.46%,292637
,Mississippi,53.43%,23.70%,174844
,West Virginia,52.05%,24.94%,90378
,Indiana,51.38%,26.86%,297406
,Missouri,47.43%,28.21%,106975
,Nebraska,47.09%,21.31%,76675
,Ohio,48.41%,28.39%,942324
,Maryland,46.20%,28.52%,201218
,North Carolina,47.34%,26.64%,630693
,South Carolina,48.03%,24.01%,332954
,Kansas,43.25%,23.16%,96673
,Louisiana,48.30%,26.43%,244901
,Tennessee,46.70%,20.91%,116727
,Pennsylvania,43.99%,23.20%,788766
,Iowa,49.45%,26.17%,183142
,Puerto Rico,50.67%,40.05%,2619
,Michigan,45.88%,26.32%,472338
,Arkansas,51.46%,27.74%,92628
,Virginia,44.05%,22.40%,516890
,Oklahoma,47.79%,23.13%,113751
,Delaware,52.50%,28.08%,38190
,Illinois,46.63%,24.85%,574796
,Maine,41.55%,22.73%,73835
,Wisconsin,45.97%,23.45%,349018
,New Jersey,40.95%,20.06%,300173
,Connecticut,42.07%,24.64%,271257
,New York,40.64%,21.13%,649858
,Minnesota,42.16%,25.80%,288565
,Texas,46.89%,25.78%,1111564
,Idaho,42.21%,22.94%,97022
,North Dakota,43.62%,30.04%,70788
,New Mexico,40.38%,18.30%,26072
,New Hampshire,41.84%,18.93%,53812
,Georgia,44.23%,22.61%,314179
,Wyoming,41.43%,17.45%,15060
,Massachusetts,37.48%,26.06%,348108
,Florida,41.11%,24.71%,770003
,South Dakota,40.06%,23.10%,46790
,District of Columbia,32.58%,13.91%,17862
,Arizona,37.07%,19.70%,146107
,Alaska,39.92%,16.15%,1220
,Oregon,35.41%,17.28%,225262
,Vermont,32.81%,14.30%,43885
,Nevada,35.43%,17.68%,97192
,Rhode Island,33.07%,20.95%,66064
,Montana,31.33%,13.03%,35317
,Washington,30.34%,12.54%,200970
,California,32.51%,16.35%,836259
,Hawaii,33.23%,16.00%,65451
,Utah,33.20%,15.98%,74942
,Colorado,32.32%,15.10%,313393
,None of the above,36.64%,18.45%,179585
,Total,43.42%,23.51%,13531316
≥ 45 and < 55 Years,Alabama,53.71%,29.44%,67543
,Kentucky,56.72%,35.15%,314804
,Mississippi,57.11%,27.05%,197926
,West Virginia,56.52%,28.13%,104986
,Indiana,55.84%,31.37%,305551
,Missouri,52.59%,33.21%,106811
,Nebraska,51.31%,24.30%,73604
,Ohio,52.94%,33.07%,973230
,Maryland,50.21%,32.46%,197637
,North Carolina,51.45%,30.93%,692794
,South Carolina,52.71%,27.82%,353480
,Kansas,47.67%,26.75%,95606
,Louisiana,52.20%,31.84%,238755
,Tennessee,50.13%,23.33%,136579
,Pennsylvania,48.39%,26.81%,803251
,Iowa,53.59%,30.32%,170060
,Puerto Rico,55.13%,44.56%,3151
,Michigan,50.48%,31.29%,478404
,Arkansas,53.97%,29.99%,103279
,Virginia,47.23%,25.67%,538339
,Oklahoma,50.67%,26.94%,119376
,Delaware,55.11%,31.10%,39074
,Illinois,50.14%,28.48%,596313
,Maine,46.94%,27.02%,78662
,Wisconsin,51.10%,28.24%,332396
,New Jersey,43.77%,22.83%,340325
,Connecticut,45.79%,28.52%,282887
,New York,43.84%,23.53%,685138
,Minnesota,47.88%,31.88%,261436
,Texas,50.39%,29.08%,1127058
,Idaho,45.79%,26.57%,99169
,North Dakota,49.85%,36.58%,58571
,New Mexico,44.29%,21.21%,26783
,New Hampshire,45.57%,20.96%,60202
,Georgia,48.01%,26.37%,359082
,Wyoming,46.56%,20.62%,15349
,Massachusetts,41.24%,30.36%,343064
,Florida,43.52%,28.51%,824178
,South Dakota,45.02%,27.78%,41635
,District of Columbia,39.09%,17.61%,12794
,Arizona,40.67%,23.09%,151023
,Alaska,41.68%,17.89%,1118
,Oregon,39.66%,20.04%,207048
,Vermont,36.46%,16.62%,46036
,Nevada,38.41%,21.38%,91141
,Rhode Island,36.49%,24.07%,67831
,Montana,37.31%,17.04%,31672
,Washington,34.20%,14.70%,179771
,California,35.25%,18.47%,812248
,Hawaii,33.34%,17.39%,71590
,Utah,35.69%,17.73%,65132
,Colorado,35.65%,18.58%,278684
,None of the above,41.99%,22.18%,160293
,Total,47.40%,27.29%,13822869
≥ 55 and < 65 Years,Alabama,50.11%,27.78%,83096
,Kentucky,54.53%,34.05%,356660
,Mississippi,53.54%,25.20%,229382
,West Virginia,53.64%,26.01%,123591
,Indiana,53.64%,30.82%,341990
,Missouri,51.59%,33.26%,127884
,Nebraska,50.63%,23.97%,87093
,Ohio,51.30%,32.69%,1137950
,Maryland,48.26%,31.92%,244653
,North Carolina,50.54%,30.78%,769463
,South Carolina,50.05%,26.83%,426190
,Kansas,48.25%,27.74%,113807
,Louisiana,50.13%,31.21%,274374
,Tennessee,47.26%,21.69%,161629
,Pennsylvania,47.71%,26.69%,980943
,Iowa,51.73%,30.08%,190824
,Puerto Rico,49.99%,43.59%,3987
,Michigan,48.60%,30.73%,567532
,Arkansas,50.27%,27.65%,120433
,Virginia,46.77%,25.80%,631134
,Oklahoma,48.42%,26.88%,137565
,Delaware,53.11%,31.00%,53800
,Illinois,48.78%,28.18%,679204
,Maine,46.17%,27.00%,106914
,Wisconsin,49.96%,29.03%,400178
,New Jersey,43.65%,22.85%,423878
,Connecticut,45.92%,28.86%,354624
,New York,43.69%,23.60%,879912
,Minnesota,47.41%,32.89%,311253
,Texas,49.08%,28.74%,1166293
,Idaho,45.36%,28.21%,107784
,North Dakota,48.33%,36.08%,66109
,New Mexico,40.58%,18.93%,36025
,New Hampshire,43.54%,20.30%,85464
,Georgia,46.56%,26.37%,394784
,Wyoming,44.35%,19.70%,19914
,Massachusetts,41.93%,31.03%,403333
,Florida,41.58%,28.17%,1002077
,South Dakota,43.88%,26.98%,48304
,District of Columbia,40.46%,16.41%,12880
,Arizona,39.43%,22.43%,173800
,Alaska,37.24%,17.34%,1563
,Oregon,40.34%,21.50%,211801
,Vermont,36.27%,16.84%,60128
,Nevada,37.48%,22.62%,100566
,Rhode Island,36.67%,24.24%,89044
,Montana,37.53%,16.76%,35749
,Washington,34.65%,14.88%,189925
,California,34.92%,18.48%,873332
,Hawaii,31.35%,16.56%,83248
,Utah,34.49%,16.86%,59717
,Colorado,35.05%,19.13%,280711
,None of the above,41.89%,22.03%,172678
,Total,46.30%,27.15%,15995172
65 Years or more,Alabama,40.28%,26.23%,136403
,Kentucky,46.04%,28.86%,527502
,Mississippi,43.53%,20.55%,369849
,West Virginia,44.29%,20.57%,207471
,Indiana,47.22%,27.58%,530588
,Missouri,44.43%,30.67%,220427
,Nebraska,44.46%,19.69%,163344
,Ohio,45.43%,30.08%,1814921
,Maryland,40.15%,26.80%,383913
,North Carolina,42.96%,25.80%,1231020
,South Carolina,41.66%,24.56%,701437
,Kansas,43.03%,24.78%,200619
,Louisiana,42.44%,28.40%,419306
,Tennessee,37.77%,17.06%,267949
,Pennsylvania,42.26%,23.73%,1585038
,Iowa,45.03%,26.40%,308865
,Puerto Rico,37.01%,29.11%,4861
,Michigan,43.69%,28.10%,898595
,Arkansas,39.84%,21.54%,196946
,Virginia,39.47%,21.99%,1008584
,Oklahoma,40.94%,24.80%,223372
,Delaware,46.58%,27.84%,91954
,Illinois,42.49%,26.42%,1096808
,Maine,40.25%,24.19%,194873
,Wisconsin,45.52%,34.17%,590715
,New Jersey,36.97%,18.96%,665612
,Connecticut,41.28%,25.63%,535835
,New York,37.77%,20.33%,1422350
,Minnesota,42.83%,31.06%,512993
,Texas,40.91%,23.93%,1727967
,Idaho,42.84%,30.50%,187866
,North Dakota,44.36%,34.66%,104741
,New Mexico,30.89%,14.43%,69396
,New Hampshire,36.78%,17.12%,136235
,Georgia,38.40%,22.39%,610783
,Wyoming,38.32%,16.52%,39032
,Massachusetts,37.86%,26.08%,583655
,Florida,33.59%,23.80%,1690564
,South Dakota,39.55%,24.65%,78235
,District of Columbia,29.63%,10.34%,18986
,Arizona,31.98%,17.42%,303503
,Alaska,31.54%,14.25%,2968
,Oregon,35.96%,19.52%,385313
,Vermont,32.04%,13.59%,104580
,Nevada,31.75%,21.93%,147038
,Rhode Island,34.82%,23.92%,140545
,Montana,33.69%,15.24%,62425
,Washington,30.38%,12.94%,311391
,California,27.34%,14.80%,1361619
,Hawaii,23.05%,12.36%,149638
,Utah,29.65%,13.31%,96437
,Colorado,30.14%,17.03%,442623
,None of the above,35.87%,19.44%,230609
,Total,39.62%,23.86%,25498299
"Total: Total includes all data, including data from rows not currently displayed.",Alabama,40.99%,22.87%,455973
,Kentucky,40.82%,24.30%,2337713
,Mississippi,40.72%,18.07%,1478633
,West Virginia,40.27%,18.78%,801962
,Indiana,39.78%,21.55%,2396085
,Missouri,39.56%,24.47%,827022
,Nebraska,39.19%,16.98%,589301
,Ohio,38.84%,23.94%,7483640
,Maryland,37.96%,23.85%,1474602
,North Carolina,37.49%,21.72%,5191134
,South Carolina,37.35%,20.28%,2799247
,Kansas,37.12%,20.53%,740261
,Louisiana,36.87%,21.53%,1878116
,Tennessee,36.82%,16.32%,999661
,Pennsylvania,36.79%,20.32%,6080634
,Iowa,36.41%,19.90%,1467130
,Puerto Rico,36.31%,28.19%,23426
,Michigan,36.31%,21.57%,3805656
,Arkansas,35.99%,19.37%,850482
,Virginia,35.98%,18.80%,3947958
,Oklahoma,35.76%,18.90%,946488
,Delaware,35.72%,21.59%,417807
,Illinois,35.36%,20.48%,4769613
,Maine,34.96%,19.95%,661371
,Wisconsin,34.83%,20.32%,2845833
,New Jersey,34.39%,17.41%,2381959
,Connecticut,34.37%,21.73%,2205637
,New York,33.69%,18.35%,5265020
,Minnesota,33.43%,22.06%,2287144
,Texas,33.43%,19.15%,9122105
,Idaho,33.41%,20.29%,800317
,North Dakota,33.33%,23.81%,518665
,New Mexico,33.23%,15.33%,209853
,New Hampshire,32.80%,15.19%,493255
,Georgia,32.40%,17.51%,2738336
,Wyoming,31.99%,13.48%,138590
,Massachusetts,30.94%,22.58%,2637056
,Florida,30.87%,19.83%,6543379
,South Dakota,30.07%,17.46%,368717
,District of Columbia,29.74%,12.15%,92630
,Arizona,29.29%,16.06%,1216467
,Alaska,28.85%,12.30%,10587
,Oregon,28.61%,14.92%,1704687
,Vermont,28.56%,12.50%,350567
,Nevada,28.29%,15.75%,713983
,Rhode Island,27.28%,18.60%,569760
,Montana,26.44%,11.27%,263791
,Washington,25.48%,10.74%,1370028
,California,24.70%,13.66%,6556351
,Hawaii,24.08%,12.22%,543332
,Utah,23.45%,11.14%,537568
,Colorado,23.86%,12.14%,2349542
,None of the above,29.41%,15.15%,1289463
,Total,34.03%,19.39%,108548537
