,,,Jul,10 or fewer,10 or fewer,11,4605
,,,Aug,10 or fewer,10 or fewer,10 or fewer,4815
,,,Sep,10 or fewer,10 or fewer,10 or fewer,4645
,,,Oct,10 or fewer,10 or fewer,10 or fewer,4770
,,,Nov,10 or fewer,10 or fewer,10 or fewer,4884
,,,Dec,10 or fewer,10 or fewer,10 or fewer,4862
,"Total: Total includes all data under the Ohio bucket, including data from rows not currently displayed.",2018,Jan,498,14,140,252826
,,,Feb,499,17,145,228244
,,,Mar,596,10 or fewer,132,233724
,,,Apr,514,12,127,229521
,,,May,615,196,179,240333
,,,Jun,612,357,194,228545
,,,Jul,751,387,176,235981
,,,Aug,746,224,160,237690
,,,Sep,638,191,149,237428
,,,Oct,562,40,165,236073
,,,Nov,461,10 or fewer,143,223562
,,,Dec,534,10 or fewer,155,239511
Texas,Less than 15 Years,2018,Jan,10 or fewer,10 or fewer,10 or fewer,43016
,,,Feb,10 or fewer,10 or fewer,10 or fewer,39526
,,,Mar,10 or fewer,10 or fewer,10 or fewer,42833
,,,Apr,10 or fewer,10 or fewer,10 or fewer,42576
,,,May,10 or fewer,39,10 or fewer,42131
,,,Jun,10 or fewer,52,10 or fewer,35423
,,,Jul,10 or fewer,35,10 or fewer,32216
,,,Aug,10 or fewer,34,10 or fewer,33822
,,,Sep,10 or fewer,15,10 or fewer,40408
,,,Oct,10 or fewer,10 or fewer,10 or fewer,44377
,,,Nov,10 or fewer,10 or fewer,10 or fewer,48051
,,,Dec,10 or fewer,10 or fewer,10 or fewer,51454
,≥ 15 and < 25 Years,2018,Jan,10 or fewer,10 or fewer,21,16711
,,,Feb,10 or fewer,10 or fewer,15,15990
,,,Mar,10 or fewer,10 or fewer,19,16911
,,,Apr,10 or fewer,10 or fewer,21,17180
,,,May,10 or fewer,28,22,17062
,,,Jun,10 or fewer,55,25,15777
,,,Jul,10 or fewer,73,28,16952
,,,Aug,10 or fewer,57,22,18005
,,,Sep,10 or fewer,23,14,18643
,,,Oct,10 or fewer,10 or fewer,28,18838
,,,Nov,10 or fewer,10 or fewer,23,17905
,,,Dec,10 or fewer,10 or fewer,26,17895
,≥ 25 and < 45 Years,2018,Jan,15,10 or fewer,25,32086
,,,Feb,20,10 or fewer,24,29493
,,,Mar,23,10 or fewer,37,31645
,,,Apr,21,10 or fewer,20,31116
,,,May,21,72,31,33172
,,,Jun,13,139,26,31917
,,,Jul,13,189,34,34945
,,,Aug,17,101,34,35038
,,,Sep,31,28,28,34254
,,,Oct,19,10 or fewer,19,34789
,,,Nov,16,10 or fewer,36,32888
,,,Dec,16,10 or fewer,34,34178
,≥ 45 and < 65 Years,2018,Jan,10 or fewer,10 or fewer,10 or fewer,28282
,,,Feb,10 or fewer,10 or fewer,10 or fewer,25531
,,,Mar,23,10 or fewer,10 or fewer,27528
,,,Apr,10 or fewer,10 or fewer,10 or fewer,26351
,,,May,10 or fewer,53,16,27923
,,,Jun,14,97,11,27231
,,,Jul,14,151,10 or fewer,29361
,,,Aug,18,68,10 or fewer,29583
,,,Sep,11,33,12,28564
,,,Oct,10 or fewer,10 or fewer,10 or fewer,29103
,,,Nov,14,10 or fewer,10 or fewer,27879
,,,Dec,10 or fewer,10 or fewer,11,29554
,65 Years or more,2018,Jan,10 or fewer,10 or fewer,10 or fewer,21616
,,,Feb,10 or fewer,10 or fewer,10 or fewer,18757
,,,Mar,10 or fewer,10 or fewer,10 or fewer,20575
,,,Apr,10 or fewer,10 or fewer,10 or fewer,19950
,,,May,10 or fewer,25,10 or fewer,20698
,,,Jun,10 or fewer,57,10 or fewer,19916
,,,Jul,11,87,10 or fewer,22054
,,,Aug,10 or fewer,47,10 or fewer,22319
,,,Sep,10 or fewer,13,10 or fewer,21592
,,,Oct,10 or fewer,10 or fewer,10 or fewer,22244
,,,Nov,10 or fewer,10 or fewer,10 or fewer,22300
,,,Dec,10 or fewer,10 or fewer,10 or fewer,24558
,No value,2018,Jan,10 or fewer,10 or fewer,10 or fewer,3820
,,,Feb,10 or fewer,10 or fewer,10 or fewer,4030
,,,Mar,10 or fewer,10 or fewer,10 or fewer,3890
,,,Apr,10 or fewer,10 or fewer,10 or fewer,3683
,,,May,10 or fewer,10 or fewer,10 or fewer,4093
,,,Jun,10 or fewer,10 or fewer,10 or fewer,3916
,,,Jul,10 or fewer,10 or fewer,10 or fewer,3721
,,,Aug,10 or fewer,10 or fewer,10 or fewer,4036
,,,Sep,10 or fewer,10 or fewer,10 or fewer,3958
,,,Oct,10 or fewer,10 or fewer,10 or fewer,4138
,,,Nov,10 or fewer,10 or fewer,10 or fewer,4217
,,,Dec,10 or fewer,10 or fewer,10 or fewer,4643
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",2018,Jan,34,10 or fewer,69,145516
,,,Feb,39,10 or fewer,57,133313
,,,Mar,56,22,74,143371
,,,Apr,46,23,57,140845
,,,May,40,217,78,145070
,,,Jun,43,400,76,134170
,,,Jul,45,536,81,139228
,,,Aug,47,307,77,142789
,,,Sep,58,112,63,147404
,,,Oct,33,26,62,153470
,,,Nov,45,10 or fewer,72,153225
,,,Dec,35,10 or fewer,85,162271
Pennsylvania,Less than 15 Years,2018,Jan,10 or fewer,10 or fewer,10 or fewer,17932
,,,Feb,10 or fewer,10 or fewer,10 or fewer,18236
,,,Mar,10 or fewer,10 or fewer,10 or fewer,17170
,,,Apr,10 or fewer,10 or fewer,10 or fewer,16792
,,,May,10 or fewer,10 or fewer,10 or fewer,19250
,,,Jun,10 or fewer,12,10 or fewer,16271
,,,Jul,10 or fewer,19,10 or fewer,15610
,,,Aug,10 or fewer,16,10 or fewer,14640
,,,Sep,10 or fewer,10 or fewer,10 or fewer,18056
,,,Oct,10 or fewer,10 or fewer,10 or fewer,19192
,,,Nov,10 or fewer,10 or fewer,10 or fewer,17678
,,,Dec,10 or fewer,10 or fewer,10 or fewer,21469
,≥ 15 and < 25 Years,2018,Jan,19,10 or fewer,31,14516
,,,Feb,17,10 or fewer,29,13744
,,,Mar,21,10 or fewer,28,14972
,,,Apr,34,10 or fewer,32,15573
,,,May,28,10 or fewer,27,16630
,,,Jun,36,17,48,15690
,,,Jul,42,50,38,16657
,,,Aug,26,33,39,16680
,,,Sep,30,19,38,17719
,,,Oct,29,10 or fewer,49,18444
,,,Nov,22,10 or fewer,52,16128
,,,Dec,25,10 or fewer,45,16883
,≥ 25 and < 45 Years,2018,Jan,128,10 or fewer,27,30060
,,,Feb,119,10 or fewer,35,27626
,,,Mar,123,10 or fewer,35,31586
,,,Apr,126,10 or fewer,34,32190
,,,May,147,30,45,35984
,,,Jun,193,41,42,34957
,,,Jul,186,82,55,36991
,,,Aug,166,52,45,37320
,,,Sep,179,23,61,36090
,,,Oct,132,10 or fewer,42,36950
,,,Nov,109,10 or fewer,41,33875
,,,Dec,107,10 or fewer,46,35552
,≥ 45 and < 65 Years,2018,Jan,38,10 or fewer,15,26384
,,,Feb,35,10 or fewer,10 or fewer,24445
,,,Mar,48,10 or fewer,14,28575
,,,Apr,60,10 or fewer,11,28419
,,,May,52,27,14,31201
,,,Jun,66,41,14,31083
,,,Jul,75,94,10 or fewer,32552
,,,Aug,66,43,10 or fewer,32315
,,,Sep,67,29,14,30979
,,,Oct,41,10 or fewer,11,32532
,,,Nov,37,10 or fewer,10 or fewer,30114
,,,Dec,36,10 or fewer,11,31890
,65 Years or more,2018,Jan,13,10 or fewer,10 or fewer,24122
,,,Feb,10 or fewer,10 or fewer,10 or fewer,21538
,,,Mar,10 or fewer,10 or fewer,10 or fewer,26666
,,,Apr,10 or fewer,10 or fewer,11,27145
,,,May,10 or fewer,23,10 or fewer,29102
,,,Jun,10 or fewer,38,10 or fewer,28899
,,,Jul,10 or fewer,54,10 or fewer,29599
,,,Aug,12,41,10 or fewer,29119
,,,Sep,10 or fewer,21,10 or fewer,28152
,,,Oct,10 or fewer,10 or fewer,10 or fewer,29901
,,,Nov,10 or fewer,10 or fewer,10 or fewer,28946
,,,Dec,10 or fewer,10 or fewer,10 or fewer,31581
,No value,2018,Jan,10 or fewer,10 or fewer,10 or fewer,3281
,,,Feb,10 or fewer,10 or fewer,10 or fewer,3513
,,,Mar,10 or fewer,10 or fewer,10 or fewer,3363
,,,Apr,10 or fewer,10 or fewer,10 or fewer,3528
,,,May,10 or fewer,10 or fewer,10 or fewer,3823
,,,Jun,10 or fewer,10 or fewer,10 or fewer,3735
,,,Jul,10 or fewer,10 or fewer,10 or fewer,3608
,,,Aug,10 or fewer,10 or fewer,10 or fewer,3811
,,,Sep,10 or fewer,10 or fewer,10 or fewer,3616
,,,Oct,10 or fewer,10 or fewer,10 or fewer,4046
,,,Nov,10 or fewer,10 or fewer,10 or fewer,3887
,,,Dec,10 or fewer,10 or fewer,10 or fewer,4073
,"Total: Total includes all data under the Pennsylvania bucket, including data from rows not currently displayed.",2018,Jan,198,10 or fewer,79,116281
,,,Feb,176,10 or fewer,80,109096
,,,Mar,200,10 or fewer,84,122322
,,,Apr,229,13,92,123636
,,,May,234,97,91,135973
,,,Jun,302,149,109,130620
,,,Jul,309,299,113,134996
,,,Aug,273,185,100,133870
,,,Sep,281,101,122,134599
,,,Oct,211,18,113,141051
,,,Nov,179,10 or fewer,117,130617
,,,Dec,173,10 or fewer,114,141439
Virginia,Less than 15 Years,2018,Jan,10 or fewer,10 or fewer,10 or fewer,19905
,,,Feb,10 or fewer,10 or fewer,10 or fewer,22975
,,,Mar,10 or fewer,10 or fewer,10 or fewer,18767
,,,Apr,10 or fewer,10 or fewer,10 or fewer,17285
,,,May,10 or fewer,14,10 or fewer,19083
,,,Jun,10 or fewer,12,10 or fewer,16852
,,,Jul,10 or fewer,13,10 or fewer,15322
,,,Aug,10 or fewer,16,10 or fewer,14573
,,,Sep,10 or fewer,10 or fewer,10 or fewer,16930
,,,Oct,10 or fewer,10 or fewer,10 or fewer,19061
,,,Nov,10 or fewer,10 or fewer,10 or fewer,18476
,,,Dec,10 or fewer,10 or fewer,10 or fewer,20326
,≥ 15 and < 25 Years,2018,Jan,10 or fewer,10 or fewer,19,15762
,,,Feb,11,10 or fewer,17,14926
,,,Mar,18,10 or fewer,13,14701
,,,Apr,11,10 or fewer,23,14654
,,,May,14,22,18,15571
,,,Jun,11,32,15,14176
,,,Jul,17,36,15,14477
,,,Aug,14,56,22,14566
,,,Sep,12,31,16,15101
,,,Oct,10 or fewer,10 or fewer,22,15764
,,,Nov,10 or fewer,10 or fewer,19,14473
,,,Dec,10 or fewer,10 or fewer,13,14427
,≥ 25 and < 45 Years,2018,Jan,41,10 or fewer,21,34520
,,,Feb,49,10 or fewer,23,32451
,,,Mar,49,10 or fewer,31,33050
,,,Apr,51,10 or fewer,23,32637
,,,May,74,35,29,34971
,,,Jun,55,73,22,34142
,,,Jul,39,108,21,34708
,,,Aug,45,95,19,34422
,,,Sep,60,39,21,33493
,,,Oct,41,10 or fewer,28,33985
,,,Nov,41,10 or fewer,15,32242
,,,Dec,38,10 or fewer,20,33379
,≥ 45 and < 65 Years,2018,Jan,22,10 or fewer,10 or fewer,29594
,,,Feb,27,10 or fewer,10 or fewer,27577
,,,Mar,16,10 or fewer,10 or fewer,27922
,,,Apr,45,10 or fewer,10 or fewer,27801
,,,May,45,45,10 or fewer,29743
,,,Jun,41,71,10 or fewer,29313
,,,Jul,39,71,10 or fewer,29574
,,,Aug,37,79,10 or fewer,29316
,,,Sep,38,35,10 or fewer,28476
,,,Oct,25,10 or fewer,10 or fewer,28577
,,,Nov,25,10 or fewer,10 or fewer,27081
,,,Dec,20,10 or fewer,10 or fewer,28546
,65 Years or more,2018,Jan,13,10 or fewer,10 or fewer,26008
,,,Feb,10 or fewer,10 or fewer,10 or fewer,23473
,,,Mar,10 or fewer,10 or fewer,10 or fewer,24851
,,,Apr,10 or fewer,10 or fewer,10 or fewer,24604
,,,May,10 or fewer,33,10 or fewer,26214
,,,Jun,12,51,10 or fewer,26011
,,,Jul,10 or fewer,42,10 or fewer,26508
,,,Aug,12,40,10 or fewer,25813
,,,Sep,10 or fewer,17,10 or fewer,25229
,,,Oct,10 or fewer,10 or fewer,10 or fewer,25923
,,,Nov,10 or fewer,10 or fewer,10 or fewer,25016
,,,Dec,13,10 or fewer,10 or fewer,27080
,No value,2018,Jan,10 or fewer,10 or fewer,10 or fewer,2736
,,,Feb,10 or fewer,10 or fewer,10 or fewer,2958
,,,Mar,10 or fewer,10 or fewer,10 or fewer,2715
,,,Apr,10 or fewer,10 or fewer,10 or fewer,2625
,,,May,10 or fewer,10 or fewer,10 or fewer,2758
,,,Jun,10 or fewer,10 or fewer,10 or fewer,2719
,,,Jul,10 or fewer,10 or fewer,10 or fewer,2623
,,,Aug,10 or fewer,10 or fewer,10 or fewer,2704
,,,Sep,10 or fewer,10 or fewer,10 or fewer,2524
,,,Oct,10 or fewer,10 or fewer,10 or fewer,2726
,,,Nov,10 or fewer,10 or fewer,10 or fewer,2735
,,,Dec,10 or fewer,10 or fewer,10 or fewer,2777
,"Total: Total includes all data under the Virginia bucket, including data from rows not currently displayed.",2018,Jan,85,10 or fewer,51,128513
,,,Feb,94,10 or fewer,48,124348
,,,Mar,89,10 or fewer,56,121987
,,,Apr,111,10 or fewer,57,119589
,,,May,142,149,60,128324
,,,Jun,120,240,44,123199
,,,Jul,103,270,51,123197
,,,Aug,108,286,52,121377
,,,Sep,120,132,43,121744
,,,Oct,83,32,62,126023
,,,Nov,86,10 or fewer,49,120008
,,,Dec,80,10 or fewer,43,126522
North Carolina,Less than 15 Years,2018,Jan,10 or fewer,10 or fewer,10 or fewer,18608
,,,Feb,10 or fewer,10 or fewer,10 or fewer,20874
,,,Mar,10 or fewer,10 or fewer,10 or fewer,17767
,,,Apr,10 or fewer,10 or fewer,10 or fewer,16250
,,,May,10 or fewer,12,10 or fewer,18417
,,,Jun,10 or fewer,11,10 or fewer,15788
,,,Jul,10 or fewer,17,10 or fewer,15087
,,,Aug,10 or fewer,15,10 or fewer,14594
,,,Sep,10 or fewer,10 or fewer,10 or fewer,16712
,,,Oct,10 or fewer,10 or fewer,10 or fewer,19408
,,,Nov,10 or fewer,10 or fewer,10 or fewer,19324
,,,Dec,10 or fewer,10 or fewer,10 or fewer,20952
,≥ 15 and < 25 Years,2018,Jan,32,10 or fewer,13,14450
,,,Feb,17,10 or fewer,16,14295
,,,Mar,19,10 or fewer,29,14206
,,,Apr,25,10 or fewer,38,14285
,,,May,23,16,31,15695
,,,Jun,16,48,38,14526
,,,Jul,19,44,31,14642
,,,Aug,23,47,31,15030
,,,Sep,23,28,30,15145
,,,Oct,16,10 or fewer,28,16739
,,,Nov,13,10 or fewer,29,15767
,,,Dec,10 or fewer,10 or fewer,29,14891
,≥ 25 and < 45 Years,2018,Jan,73,10 or fewer,24,30518
,,,Feb,77,10 or fewer,27,29352
,,,Mar,79,10 or fewer,30,29884
,,,Apr,65,10 or fewer,28,29654
,,,May,72,32,37,33130
,,,Jun,77,93,49,32701
,,,Jul,67,86,29,32939
,,,Aug,84,80,44,33064
,,,Sep,64,50,37,31657
,,,Oct,59,10 or fewer,33,34207
,,,Nov,59,10 or fewer,35,32470
,,,Dec,52,10 or fewer,47,33199
,≥ 45 and < 65 Years,2018,Jan,25,10 or fewer,10 or fewer,26589
,,,Feb,31,10 or fewer,13,24645
,,,Mar,37,10 or fewer,10 or fewer,25227
,,,Apr,28,10 or fewer,10 or fewer,25156
,,,May,24,24,10 or fewer,28041
,,,Jun,25,94,10 or fewer,27573
,,,Jul,27,64,11,28381
,,,Aug,31,62,10 or fewer,28169
,,,Sep,24,49,10 or fewer,27336
,,,Oct,24,10 or fewer,12,28800
,,,Nov,25,10 or fewer,10 or fewer,27194
,,,Dec,31,10 or fewer,12,28224
,65 Years or more,2018,Jan,10 or fewer,10 or fewer,10 or fewer,23104
,,,Feb,10 or fewer,10 or fewer,10 or fewer,20719
,,,Mar,10 or fewer,10 or fewer,10 or fewer,21969
,,,Apr,10 or fewer,10 or fewer,10 or fewer,21818
,,,May,11,31,10 or fewer,23784
,,,Jun,10 or fewer,61,10 or fewer,23567
,,,Jul,11,48,10 or fewer,23924
,,,Aug,11,29,10 or fewer,23619
,,,Sep,10 or fewer,20,10 or fewer,23429
,,,Oct,10 or fewer,10 or fewer,10 or fewer,24973
,,,Nov,10 or fewer,10 or fewer,10 or fewer,23936
,,,Dec,10 or fewer,10 or fewer,10 or fewer,25856
,No value,2018,Jan,10 or fewer,10 or fewer,10 or fewer,2599
,,,Feb,10 or fewer,10 or fewer,10 or fewer,3123
,,,Mar,10 or fewer,10 or fewer,10 or fewer,2797
,,,Apr,10 or fewer,10 or fewer,10 or fewer,2751
,,,May,10 or fewer,10 or fewer,10 or fewer,2887
,,,Jun,10 or fewer,10 or fewer,10 or fewer,2727
,,,Jul,10 or fewer,10 or fewer,10 or fewer,2658
,,,Aug,10 or fewer,10 or fewer,10 or fewer,2856
,,,Sep,10 or fewer,10 or fewer,10 or fewer,2673
,,,Oct,10 or fewer,10 or fewer,10 or fewer,3017
,,,Nov,10 or fewer,10 or fewer,10 or fewer,3019
,,,Dec,10 or fewer,10 or fewer,10 or fewer,3037
,"Total: Total includes all data under the North Carolina bucket, including data from rows not currently displayed.",2018,Jan,139,10 or fewer,51,115852
,,,Feb,133,10 or fewer,58,113002
,,,Mar,143,10 or fewer,71,111837
,,,Apr,125,13,81,109903
,,,May,130,115,77,121941
,,,Jun,123,307,103,116871
,,,Jul,124,259,77,117617
,,,Aug,149,233,90,117314
,,,Sep,118,156,83,116942
,,,Oct,108,36,86,127131
,,,Nov,99,10 or fewer,74,121693
,,,Dec,102,10 or fewer,94,126148
New York,Less than 15 Years,2018,Jan,10 or fewer,10 or fewer,10 or fewer,16155
,,,Feb,10 or fewer,10 or fewer,10 or fewer,16199
,,,Mar,10 or fewer,10 or fewer,10 or fewer,14585
,,,Apr,10 or fewer,10 or fewer,10 or fewer,13568
,,,May,10 or fewer,10 or fewer,10 or fewer,15468
,,,Jun,10 or fewer,10 or fewer,10 or fewer,13524
,,,Jul,10 or fewer,11,10 or fewer,13307
,,,Aug,10 or fewer,10 or fewer,10 or fewer,12478
,,,Sep,10 or fewer,10 or fewer,10 or fewer,14165
,,,Oct,10 or fewer,10 or fewer,10 or fewer,14541
,,,Nov,10 or fewer,10 or fewer,10 or fewer,13800
,,,Dec,10 or fewer,10 or fewer,10 or fewer,16772
,≥ 15 and < 25 Years,2018,Jan,14,10 or fewer,10 or fewer,11802
,,,Feb,12,10 or fewer,10 or fewer,11031
,,,Mar,13,10 or fewer,10 or fewer,12091
,,,Apr,16,10 or fewer,11,12283
,,,May,14,10 or fewer,17,12374
,,,Jun,19,10 or fewer,16,11466
,,,Jul,11,35,21,12660
,,,Aug,15,15,17,12253
,,,Sep,19,10 or fewer,13,13036
,,,Oct,16,10 or fewer,13,12706
,,,Nov,10 or fewer,10 or fewer,10 or fewer,11656
,,,Dec,10 or fewer,10 or fewer,10 or fewer,11722
,≥ 25 and < 45 Years,2018,Jan,38,10 or fewer,12,24410
,,,Feb,41,10 or fewer,10 or fewer,22450
,,,Mar,62,10 or fewer,17,24358
,,,Apr,64,10 or fewer,15,24204
,,,May,69,10 or fewer,20,25294
,,,Jun,58,18,25,24768
,,,Jul,73,43,24,26358
,,,Aug,78,24,19,26372
,,,Sep,76,13,16,25242
,,,Oct,76,10 or fewer,11,25085
,,,Nov,63,10 or fewer,10 or fewer,22969
,,,Dec,55,10 or fewer,18,24323
,≥ 45 and < 65 Years,2018,Jan,20,10 or fewer,10 or fewer,22068
,,,Feb,10 or fewer,10 or fewer,10 or fewer,20061
,,,Mar,23,10 or fewer,10 or fewer,22215
,,,Apr,26,10 or fewer,10 or fewer,21627
,,,May,29,10 or fewer,10 or fewer,22956
,,,Jun,20,17,10 or fewer,22601
,,,Jul,27,54,10 or fewer,23812
,,,Aug,43,23,10 or fewer,23525
,,,Sep,31,14,10 or fewer,22080
,,,Oct,36,10 or fewer,10 or fewer,22442
,,,Nov,22,10 or fewer,10 or fewer,20648
,,,Dec,31,10 or fewer,10 or fewer,21720
,65 Years or more,2018,Jan,10 or fewer,10 or fewer,10 or fewer,19874
,,,Feb,10 or fewer,10 or fewer,10 or fewer,17749
,,,Mar,10 or fewer,10 or fewer,10 or fewer,19511
,,,Apr,10 or fewer,10 or fewer,10 or fewer,19449
,,,May,10 or fewer,20,10 or fewer,20750
,,,Jun,10 or fewer,24,10 or fewer,20190
,,,Jul,10 or fewer,41,10 or fewer,20948
,,,Aug,10 or fewer,24,10 or fewer,20826
,,,Sep,10 or fewer,13,10 or fewer,19574
,,,Oct,10 or fewer,10 or fewer,10 or fewer,20828
,,,Nov,10 or fewer,10 or fewer,10 or fewer,19252
,,,Dec,11,10 or fewer,10 or fewer,20837
,No value,2018,Jan,10 or fewer,10 or fewer,10 or fewer,2814
,,,Feb,10 or fewer,10 or fewer,10 or fewer,3068
,,,Mar,10 or fewer,10 or fewer,10 or fewer,3121
,,,Apr,10 or fewer,10 or fewer,10 or fewer,3008
,,,May,10 or fewer,10 or fewer,10 or fewer,3137
,,,Jun,10 or fewer,10 or fewer,10 or fewer,3024
,,,Jul,10 or fewer,10 or fewer,10 or fewer,2904
,,,Aug,10 or fewer,10 or fewer,10 or fewer,3074
,,,Sep,10 or fewer,10 or fewer,10 or fewer,2861
,,,Oct,10 or fewer,10 or fewer,10 or fewer,3136
,,,Nov,10 or fewer,10 or fewer,10 or fewer,3243
,,,Dec,10 or fewer,10 or fewer,10 or fewer,3092
,"Total: Total includes all data under the New York bucket, including data from rows not currently displayed.",2018,Jan,75,10 or fewer,26,97119
,,,Feb,66,10 or fewer,18,90555
,,,Mar,107,10 or fewer,30,95867
,,,Apr,110,10 or fewer,28,94131
,,,May,119,54,44,99970
,,,Jun,102,79,47,95564
,,,Jul,114,185,53,99984
,,,Aug,140,91,40,98521
,,,Sep,134,50,34,96948
,,,Oct,136,10 or fewer,31,98727
,,,Nov,102,10 or fewer,19,91565
,,,Dec,107,10 or fewer,34,98461
Florida,Less than 15 Years,2018,Jan,10 or fewer,10 or fewer,10 or fewer,26882
,,,Feb,10 or fewer,10 or fewer,10 or fewer,27115
,,,Mar,10 or fewer,10 or fewer,10 or fewer,24731
,,,Apr,10 or fewer,10 or fewer,10 or fewer,22390
,,,May,10 or fewer,10 or fewer,10 or fewer,21460
,,,Jun,10 or fewer,14,10 or fewer,17970
,,,Jul,10 or fewer,10 or fewer,10 or fewer,17010
,,,Aug,10 or fewer,10 or fewer,10 or fewer,18401
,,,Sep,10 or fewer,12,10 or fewer,21927
,,,Oct,10 or fewer,10 or fewer,10 or fewer,24092
,,,Nov,10 or fewer,10 or fewer,10 or fewer,22963
,,,Dec,10 or fewer,10 or fewer,10 or fewer,24344
,≥ 15 and < 25 Years,2018,Jan,10 or fewer,10 or fewer,33,12530
,,,Feb,10 or fewer,10 or fewer,21,11553
,,,Mar,10 or fewer,10 or fewer,16,11509
,,,Apr,10 or fewer,10 or fewer,24,11404
,,,May,10 or fewer,10 or fewer,24,10921
,,,Jun,10 or fewer,23,31,10125
,,,Jul,10 or fewer,27,26,10395
,,,Aug,10 or fewer,21,29,10809
,,,Sep,10 or fewer,18,17,11504
,,,Oct,10 or fewer,10 or fewer,31,11725
,,,Nov,10 or fewer,10 or fewer,34,10943
,,,Dec,10 or fewer,10 or fewer,31,10945
,≥ 25 and < 45 Years,2018,Jan,45,10 or fewer,35,24596
,,,Feb,28,10 or fewer,18,22314
,,,Mar,37,10 or fewer,34,23480
,,,Apr,48,10 or fewer,30,23187
,,,May,44,10 or fewer,33,23910
,,,Jun,34,38,40,22923
,,,Jul,31,29,30,23274
,,,Aug,35,22,38,23139
,,,Sep,31,24,32,22985
,,,Oct,34,10 or fewer,47,23480
,,,Nov,43,10 or fewer,36,22123
,,,Dec,49,10 or fewer,39,23086
,≥ 45 and < 65 Years,2018,Jan,13,10 or fewer,14,22447
,,,Feb,11,10 or fewer,10 or fewer,20318
