,,,Mar,10 or fewer,10 or fewer,10 or fewer,4769
,,,Apr,10 or fewer,10 or fewer,10 or fewer,4796
,,,May,10 or fewer,10 or fewer,10 or fewer,4548
,,,Jun,10 or fewer,10 or fewer,10 or fewer,4831
,,,Jul,10 or fewer,10 or fewer,10 or fewer,4792
,,,Aug,10 or fewer,10 or fewer,10 or fewer,4864
,,,Sep,10 or fewer,10 or fewer,10 or fewer,5356
,,,Oct,10 or fewer,10 or fewer,10 or fewer,5152
,,,Nov,10 or fewer,10 or fewer,10 or fewer,5389
,,,Dec,10 or fewer,10 or fewer,10 or fewer,6015
,"Total: Total includes all data under the New York bucket, including data from rows not currently displayed.",2021,Jan,121,10 or fewer,48,114818
,,,Feb,113,10 or fewer,46,100354
,,,Mar,156,10 or fewer,72,116551
,,,Apr,143,10 or fewer,74,119401
,,,May,150,48,95,130172
,,,Jun,184,195,119,135478
,,,Jul,241,96,108,144392
,,,Aug,212,166,118,147183
,,,Sep,192,19,81,145023
,,,Oct,195,10 or fewer,69,146516
,,,Nov,168,10 or fewer,76,142086
,,,Dec,191,10 or fewer,66,158316
Illinois,Less than 15 Years,2021,Jan,10 or fewer,10 or fewer,10 or fewer,11668
,,,Feb,10 or fewer,10 or fewer,10 or fewer,10872
,,,Mar,10 or fewer,10 or fewer,10 or fewer,15304
,,,Apr,10 or fewer,10 or fewer,10 or fewer,17980
,,,May,10 or fewer,10 or fewer,10 or fewer,20260
,,,Jun,10 or fewer,24,10 or fewer,20460
,,,Jul,10 or fewer,14,10 or fewer,22486
,,,Aug,10 or fewer,11,10 or fewer,24310
,,,Sep,10 or fewer,10 or fewer,10 or fewer,27026
,,,Oct,10 or fewer,10 or fewer,10 or fewer,23594
,,,Nov,10 or fewer,10 or fewer,10 or fewer,23216
,,,Dec,10 or fewer,10 or fewer,10 or fewer,24526
,≥ 15 and < 25 Years,2021,Jan,10 or fewer,10 or fewer,45,12879
,,,Feb,11,10 or fewer,33,11553
,,,Mar,12,10 or fewer,45,14839
,,,Apr,14,10 or fewer,39,16167
,,,May,10 or fewer,10 or fewer,51,16531
,,,Jun,10 or fewer,32,52,16131
,,,Jul,12,29,65,16917
,,,Aug,20,47,64,17941
,,,Sep,10 or fewer,10 or fewer,59,18113
,,,Oct,10 or fewer,10 or fewer,59,17250
,,,Nov,10 or fewer,10 or fewer,29,16143
,,,Dec,11,10 or fewer,64,16637
,≥ 25 and < 45 Years,2021,Jan,54,10 or fewer,57,27889
,,,Feb,45,10 or fewer,37,25248
,,,Mar,68,10 or fewer,48,29887
,,,Apr,81,10 or fewer,56,32264
,,,May,89,15,76,32760
,,,Jun,89,63,65,32939
,,,Jul,92,47,96,34483
,,,Aug,83,66,88,35639
,,,Sep,72,10 or fewer,78,33025
,,,Oct,71,10 or fewer,66,31561
,,,Nov,86,10 or fewer,61,30459
,,,Dec,54,10 or fewer,65,34100
,≥ 45 and < 65 Years,2021,Jan,33,10 or fewer,13,24928
,,,Feb,33,10 or fewer,10 or fewer,22938
,,,Mar,52,10 or fewer,12,26788
,,,Apr,52,10 or fewer,14,28387
,,,May,61,10 or fewer,10 or fewer,29147
,,,Jun,83,56,13,28567
,,,Jul,78,50,12,30634
,,,Aug,82,50,21,30961
,,,Sep,78,10 or fewer,15,28951
,,,Oct,64,10 or fewer,15,27956
,,,Nov,76,10 or fewer,10 or fewer,27247
,,,Dec,54,10 or fewer,10 or fewer,29965
,65 Years or more,2021,Jan,10 or fewer,10 or fewer,10 or fewer,25286
,,,Feb,12,10 or fewer,10 or fewer,22794
,,,Mar,10 or fewer,10 or fewer,10 or fewer,27140
,,,Apr,13,10 or fewer,10 or fewer,27857
,,,May,20,13,10 or fewer,29146
,,,Jun,22,49,10 or fewer,29492
,,,Jul,15,42,10 or fewer,30836
,,,Aug,16,34,10 or fewer,30621
,,,Sep,16,12,10 or fewer,29198
,,,Oct,17,10 or fewer,10 or fewer,29175
,,,Nov,17,10 or fewer,10 or fewer,29098
,,,Dec,17,10 or fewer,10 or fewer,31502
,No value,2021,Jan,10 or fewer,10 or fewer,10 or fewer,3856
,,,Feb,10 or fewer,10 or fewer,10 or fewer,3856
,,,Mar,10 or fewer,10 or fewer,10 or fewer,3692
,,,Apr,10 or fewer,10 or fewer,10 or fewer,3739
,,,May,10 or fewer,10 or fewer,10 or fewer,4024
,,,Jun,10 or fewer,10 or fewer,10 or fewer,3925
,,,Jul,10 or fewer,10 or fewer,10 or fewer,3797
,,,Aug,10 or fewer,10 or fewer,10 or fewer,3889
,,,Sep,10 or fewer,10 or fewer,10 or fewer,4546
,,,Oct,10 or fewer,10 or fewer,10 or fewer,4206
,,,Nov,10 or fewer,10 or fewer,10 or fewer,4232
,,,Dec,10 or fewer,10 or fewer,10 or fewer,4725
,"Total: Total includes all data under the Illinois bucket, including data from rows not currently displayed.",2021,Jan,101,10 or fewer,125,106499
,,,Feb,103,10 or fewer,84,97252
,,,Mar,140,11,115,117636
,,,Apr,161,10 or fewer,121,126383
,,,May,180,49,151,131855
,,,Jun,199,224,140,131507
,,,Jul,198,182,195,139137
,,,Aug,201,209,190,143341
,,,Sep,177,39,170,140842
,,,Oct,162,10 or fewer,159,133731
,,,Nov,187,10 or fewer,111,130383
,,,Dec,136,10 or fewer,151,141440
Virginia,Less than 15 Years,2021,Jan,10 or fewer,10 or fewer,10 or fewer,8171
,,,Feb,10 or fewer,10 or fewer,10 or fewer,7712
,,,Mar,10 or fewer,10 or fewer,10 or fewer,10507
,,,Apr,10 or fewer,10 or fewer,10 or fewer,12019
,,,May,10 or fewer,10 or fewer,10 or fewer,13722
,,,Jun,10 or fewer,13,10 or fewer,14255
,,,Jul,10 or fewer,10 or fewer,10 or fewer,15474
,,,Aug,10 or fewer,12,10 or fewer,17373
,,,Sep,10 or fewer,10 or fewer,10 or fewer,20388
,,,Oct,10 or fewer,10 or fewer,10 or fewer,19326
,,,Nov,10 or fewer,10 or fewer,10 or fewer,16973
,,,Dec,10 or fewer,10 or fewer,10 or fewer,21795
,≥ 15 and < 25 Years,2021,Jan,13,10 or fewer,29,12771
,,,Feb,14,10 or fewer,30,11525
,,,Mar,26,10 or fewer,38,13646
,,,Apr,32,10 or fewer,28,13957
,,,May,20,10 or fewer,38,14987
,,,Jun,22,31,37,14944
,,,Jul,16,41,41,15811
,,,Aug,23,53,32,17141
,,,Sep,20,10 or fewer,33,17394
,,,Oct,18,10 or fewer,34,16708
,,,Nov,15,10 or fewer,39,15312
,,,Dec,32,10 or fewer,57,19265
,≥ 25 and < 45 Years,2021,Jan,70,10 or fewer,27,33058
,,,Feb,71,10 or fewer,29,28856
,,,Mar,98,10 or fewer,40,32597
,,,Apr,87,10 or fewer,28,33776
,,,May,92,24,49,35293
,,,Jun,109,71,32,36233
,,,Jul,90,105,24,38175
,,,Aug,116,132,34,41102
,,,Sep,86,23,32,38381
,,,Oct,85,10 or fewer,39,36860
,,,Nov,84,10 or fewer,40,34451
,,,Dec,85,10 or fewer,47,43886
,≥ 45 and < 65 Years,2021,Jan,52,10 or fewer,10 or fewer,28895
,,,Feb,34,10 or fewer,10 or fewer,25458
,,,Mar,58,10 or fewer,15,29276
,,,Apr,66,10 or fewer,12,29246
,,,May,66,34,10 or fewer,30676
,,,Jun,85,67,13,31340
,,,Jul,88,89,10 or fewer,32808
,,,Aug,70,90,10 or fewer,33979
,,,Sep,72,10 or fewer,10 or fewer,31860
,,,Oct,60,10 or fewer,10 or fewer,31071
,,,Nov,60,10 or fewer,13,29180
,,,Dec,59,10 or fewer,15,36209
,65 Years or more,2021,Jan,13,10 or fewer,10 or fewer,27041
,,,Feb,10 or fewer,10 or fewer,10 or fewer,24281
,,,Mar,13,10 or fewer,10 or fewer,27798
,,,Apr,15,10 or fewer,10 or fewer,28101
,,,May,12,16,10 or fewer,29184
,,,Jun,11,57,10 or fewer,29932
,,,Jul,20,76,10 or fewer,31515
,,,Aug,18,82,10 or fewer,31006
,,,Sep,21,11,10 or fewer,29125
,,,Oct,21,10 or fewer,10 or fewer,29811
,,,Nov,10 or fewer,10 or fewer,10 or fewer,29055
